n,knob_HIST_SIZE,knob_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_UNROLL_FACTOR,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0784,256,6,3,2,0,1024,0.0018,8008
0785,256,6,3,2,0,2048,0.0019,7833
0786,256,6,3,2,0,4096,0.0018,7974
0787,256,6,3,2,0,8192,0.0018,7401
0788,256,6,3,2,0,16384,0.0018,7074
0789,256,6,3,2,0,32768,0.0017,7440
0791,256,6,3,3,0,1024,0.0017,7793
0793,256,6,3,3,0,4096,0.0017,7684
0795,256,6,3,3,0,16384,0.0017,7036
0796,256,6,3,3,0,32768,0.0018,8067
0797,256,6,3,3,0,65536,0.0016,7124
0798,256,6,4,1,0,1024,0.0014,7988
0799,256,6,4,1,0,2048,0.0014,7909
0801,256,6,4,1,0,8192,0.0014,7701
0803,256,6,4,1,0,32768,0.0014,7370
0804,256,6,4,1,0,65536,0.0014,7569
0805,256,6,4,2,0,1024,0.0017,8295
0808,256,6,4,2,0,8192,0.0017,7644
0811,256,6,4,2,0,65536,0.0016,7515
0813,256,6,4,3,0,2048,0.0015,7484
0814,256,6,4,3,0,4096,0.0016,7526
0815,256,6,4,3,0,8192,0.0014,7301
0816,256,6,4,3,0,16384,0.0015,7087
0818,256,6,4,3,0,65536,0.0015,7212
0819,256,6,5,1,0,1024,0.0014,8146
0821,256,6,5,1,0,4096,0.0014,7656
0822,256,6,5,1,0,8192,0.0013,7188
0823,256,6,5,1,0,16384,0.0014,7552
0824,256,6,5,1,0,32768,0.0013,7506
0825,256,6,5,1,0,65536,0.0014,7546
0826,256,6,5,2,0,1024,0.0016,7862
0827,256,6,5,2,0,2048,0.0016,7609
0828,256,6,5,2,0,4096,0.0016,7736
0830,256,6,5,2,0,16384,0.0017,7191
0832,256,6,5,2,0,65536,0.0016,7413
0835,256,6,5,3,0,4096,0.0017,7865
0836,256,6,5,3,0,8192,0.0016,7463
0837,256,6,5,3,0,16384,0.0018,9320
0838,256,6,5,3,0,32768,0.0018,9306
0839,256,6,5,3,0,65536,0.0018,9334
0840,256,6,6,1,0,1024,0.0014,7679
0841,256,6,6,1,0,2048,0.0014,7769
0842,256,6,6,1,0,4096,0.0013,7255
0843,256,6,6,1,0,8192,0.0013,7603
0844,256,6,6,1,0,16384,0.0012,7052
0845,256,6,6,1,0,32768,0.0013,7454
0846,256,6,6,1,0,65536,0.0013,7439
0847,256,6,6,2,0,1024,0.0009,7623
0849,256,6,6,2,0,4096,0.0010,8060
0850,256,6,6,2,0,8192,0.0010,7100
0851,256,6,6,2,0,16384,0.0010,7619
0852,256,6,6,2,0,32768,0.0009,7491
0853,256,6,6,2,0,65536,0.0009,7616
0856,256,6,6,3,0,4096,0.0017,7265
0858,256,6,6,3,0,16384,0.0018,7088
0859,256,6,6,3,0,32768,0.0018,7262
0860,256,6,6,3,0,65536,0.0016,7087
0862,256,6,7,1,0,2048,0.0015,7389
0863,256,6,7,1,0,4096,0.0016,7953
0864,256,6,7,1,0,8192,0.0015,7135
0865,256,6,7,1,0,16384,0.0015,7110
0867,256,6,7,1,0,65536,0.0014,7034
0868,256,6,7,2,0,1024,0.0009,7651
0869,256,6,7,2,0,2048,0.0010,7832
0870,256,6,7,2,0,4096,0.0010,7775
0871,256,6,7,2,0,8192,0.0010,7110
0874,256,6,7,2,0,65536,0.0009,7676
0876,256,6,7,3,0,2048,0.0017,7629
0878,256,6,7,3,0,8192,0.0018,9443
0879,256,6,7,3,0,16384,0.0015,7390
0880,256,6,7,3,0,32768,0.0015,7379
0881,256,6,7,3,0,65536,0.0015,7316
0882,256,7,1,1,0,1024,0.0023,7580
0883,256,7,1,1,0,2048,0.0022,7550
0884,256,7,1,1,0,4096,0.0024,7386
0885,256,7,1,1,0,8192,0.0024,7056
0886,256,7,1,1,0,16384,0.0025,7057
0888,256,7,1,1,0,65536,0.0023,7530
0890,256,7,1,2,0,2048,0.0021,7708
0891,256,7,1,2,0,4096,0.0019,7748
0892,256,7,1,2,0,8192,0.0021,7435
0893,256,7,1,2,0,16384,0.0021,7137
0894,256,7,1,2,0,32768,0.0020,7409
0895,256,7,1,2,0,65536,0.0021,7549
0896,256,7,1,3,0,1024,0.0018,8297
0897,256,7,1,3,0,2048,0.0020,7868
0900,256,7,1,3,0,16384,0.0019,7049
0901,256,7,1,3,0,32768,0.0020,7104
0902,256,7,1,3,0,65536,0.0019,7135
0903,256,7,2,1,0,1024,0.0019,7737
0905,256,7,2,1,0,4096,0.0021,7740
0906,256,7,2,1,0,8192,0.0020,7639
0907,256,7,2,1,0,16384,0.0020,7524
0908,256,7,2,1,0,32768,0.0020,7504
0909,256,7,2,1,0,65536,0.0020,7495
0910,256,7,2,2,0,1024,0.0017,8050
0911,256,7,2,2,0,2048,0.0017,7518
0912,256,7,2,2,0,4096,0.0018,7525
0914,256,7,2,2,0,16384,0.0017,7138
0915,256,7,2,2,0,32768,0.0016,7154
0916,256,7,2,2,0,65536,0.0016,7085
0917,256,7,2,3,0,1024,0.0016,8509
0921,256,7,2,3,0,16384,0.0016,7064
0922,256,7,2,3,0,32768,0.0016,7071
0923,256,7,2,3,0,65536,0.0016,7637
0925,256,7,3,1,0,2048,0.0014,8201
0926,256,7,3,1,0,4096,0.0014,7610
0927,256,7,3,1,0,8192,0.0013,7463
0928,256,7,3,1,0,16384,0.0013,7527
0929,256,7,3,1,0,32768,0.0013,7101
0930,256,7,3,1,0,65536,0.0013,7524
0932,256,7,3,2,0,2048,0.0019,7833
0933,256,7,3,2,0,4096,0.0018,7974
0934,256,7,3,2,0,8192,0.0018,7401
0935,256,7,3,2,0,16384,0.0018,7074
0936,256,7,3,2,0,32768,0.0017,7440
0938,256,7,3,3,0,1024,0.0017,7793
0940,256,7,3,3,0,4096,0.0017,7684
0941,256,7,3,3,0,8192,0.0018,7476
0942,256,7,3,3,0,16384,0.0017,7036
0944,256,7,3,3,0,65536,0.0016,7124
0948,256,7,4,1,0,8192,0.0014,7701
0949,256,7,4,1,0,16384,0.0013,7083
0950,256,7,4,1,0,32768,0.0014,7370
0951,256,7,4,1,0,65536,0.0014,7569
0952,256,7,4,2,0,1024,0.0017,8295
0953,256,7,4,2,0,2048,0.0018,8148
0955,256,7,4,2,0,8192,0.0017,7644
0957,256,7,4,2,0,32768,0.0017,7068
0958,256,7,4,2,0,65536,0.0016,7515
0962,256,7,4,3,0,8192,0.0014,7301
0963,256,7,4,3,0,16384,0.0015,7087
0965,256,7,4,3,0,65536,0.0015,7212
0967,256,7,5,1,0,2048,0.0013,7422
0968,256,7,5,1,0,4096,0.0014,7656
0969,256,7,5,1,0,8192,0.0013,7188
0970,256,7,5,1,0,16384,0.0014,7552
0971,256,7,5,1,0,32768,0.0013,7506
0972,256,7,5,1,0,65536,0.0014,7546
0973,256,7,5,2,0,1024,0.0016,7862
0974,256,7,5,2,0,2048,0.0016,7609
0975,256,7,5,2,0,4096,0.0016,7736
0977,256,7,5,2,0,16384,0.0017,7191
0978,256,7,5,2,0,32768,0.0016,7656
0979,256,7,5,2,0,65536,0.0016,7413
0982,256,7,5,3,0,4096,0.0017,7865
0983,256,7,5,3,0,8192,0.0016,7463
0984,256,7,5,3,0,16384,0.0018,9320
0985,256,7,5,3,0,32768,0.0018,9306
0986,256,7,5,3,0,65536,0.0016,9337
0987,256,7,6,1,0,1024,0.0014,7679
0988,256,7,6,1,0,2048,0.0014,7769
0989,256,7,6,1,0,4096,0.0013,7255
0990,256,7,6,1,0,8192,0.0013,7603
0991,256,7,6,1,0,16384,0.0012,7052
0992,256,7,6,1,0,32768,0.0013,7454
0994,256,7,6,2,0,1024,0.0009,7623
0996,256,7,6,2,0,4096,0.0010,8060
0997,256,7,6,2,0,8192,0.0010,7100
0998,256,7,6,2,0,16384,0.0010,7619
0999,256,7,6,2,0,32768,0.0009,7491
1000,256,7,6,2,0,65536,0.0009,7616
1002,256,7,6,3,0,2048,0.0017,7935
1005,256,7,6,3,0,16384,0.0018,7088
1007,256,7,6,3,0,65536,0.0016,7087
1009,256,7,7,1,0,2048,0.0015,7389
1010,256,7,7,1,0,4096,0.0016,7953
1014,256,7,7,1,0,65536,0.0014,7034
1016,256,7,7,2,0,2048,0.0010,7832
1017,256,7,7,2,0,4096,0.0010,7775
1018,256,7,7,2,0,8192,0.0010,7110
1021,256,7,7,2,0,65536,0.0009,7676
1023,256,7,7,3,0,2048,0.0017,7629
1025,256,7,7,3,0,8192,0.0018,9443
1026,256,7,7,3,0,16384,0.0015,7375
1027,256,7,7,3,0,32768,0.0015,7379
1028,256,7,7,3,0,65536,0.0015,7316
1029,256,8,1,1,0,1024,0.0023,7580
1031,256,8,1,1,0,4096,0.0024,7386
1032,256,8,1,1,0,8192,0.0024,7056
1033,256,8,1,1,0,16384,0.0025,7057
1034,256,8,1,1,0,32768,0.0023,7551
1035,256,8,1,1,0,65536,0.0023,7530
1037,256,8,1,2,0,2048,0.0021,7708
1038,256,8,1,2,0,4096,0.0019,7748
1039,256,8,1,2,0,8192,0.0021,7435
1040,256,8,1,2,0,16384,0.0021,7137
1041,256,8,1,2,0,32768,0.0020,7409
1042,256,8,1,2,0,65536,0.0021,7549
1043,256,8,1,3,0,1024,0.0018,8297
1044,256,8,1,3,0,2048,0.0020,7868
1047,256,8,1,3,0,16384,0.0019,7049
1048,256,8,1,3,0,32768,0.0020,7104
1049,256,8,1,3,0,65536,0.0019,7135
1050,256,8,2,1,0,1024,0.0019,7737
1052,256,8,2,1,0,4096,0.0021,7740
1055,256,8,2,1,0,32768,0.0020,7504
1056,256,8,2,1,0,65536,0.0020,7495
1057,256,8,2,2,0,1024,0.0017,8050
1058,256,8,2,2,0,2048,0.0017,7518
1059,256,8,2,2,0,4096,0.0018,7525
1061,256,8,2,2,0,16384,0.0017,7138
1062,256,8,2,2,0,32768,0.0016,7154
1064,256,8,2,3,0,1024,0.0016,8509
1069,256,8,2,3,0,32768,0.0016,7071
1070,256,8,2,3,0,65536,0.0016,7637
1072,256,8,3,1,0,2048,0.0014,8201
1073,256,8,3,1,0,4096,0.0014,7610
1074,256,8,3,1,0,8192,0.0013,7463
1076,256,8,3,1,0,32768,0.0013,7101
1077,256,8,3,1,0,65536,0.0013,7524
1078,256,8,3,2,0,1024,0.0018,8008
1079,256,8,3,2,0,2048,0.0019,7833
1080,256,8,3,2,0,4096,0.0018,7974
1081,256,8,3,2,0,8192,0.0018,7401
1082,256,8,3,2,0,16384,0.0018,7074
1083,256,8,3,2,0,32768,0.0017,7440
1085,256,8,3,3,0,1024,0.0017,7793
1087,256,8,3,3,0,4096,0.0017,7684
1088,256,8,3,3,0,8192,0.0018,7476
1089,256,8,3,3,0,16384,0.0017,7036
1091,256,8,3,3,0,65536,0.0016,7124
1093,256,8,4,1,0,2048,0.0014,7909
1095,256,8,4,1,0,8192,0.0014,7701
1098,256,8,4,1,0,65536,0.0014,7569
1099,256,8,4,2,0,1024,0.0017,8295
1101,256,8,4,2,0,4096,0.0018,7621
1102,256,8,4,2,0,8192,0.0017,7644
1105,256,8,4,2,0,65536,0.0016,7515
1109,256,8,4,3,0,8192,0.0014,7301
1110,256,8,4,3,0,16384,0.0015,7087
1112,256,8,4,3,0,65536,0.0015,7212
1113,256,8,5,1,0,1024,0.0014,8146
1114,256,8,5,1,0,2048,0.0013,7422
1115,256,8,5,1,0,4096,0.0014,7656
1116,256,8,5,1,0,8192,0.0013,7188
1117,256,8,5,1,0,16384,0.0014,7552
1118,256,8,5,1,0,32768,0.0013,7506
1119,256,8,5,1,0,65536,0.0014,7546
1120,256,8,5,2,0,1024,0.0016,7862
1121,256,8,5,2,0,2048,0.0016,7609
1122,256,8,5,2,0,4096,0.0016,7736
1124,256,8,5,2,0,16384,0.0017,7191
1125,256,8,5,2,0,32768,0.0016,7656
1126,256,8,5,2,0,65536,0.0016,7413
1129,256,8,5,3,0,4096,0.0017,7865
1131,256,8,5,3,0,16384,0.0018,9322
1132,256,8,5,3,0,32768,0.0018,9306
1133,256,8,5,3,0,65536,0.0016,9337
1134,256,8,6,1,0,1024,0.0014,7679
1135,256,8,6,1,0,2048,0.0014,7769
1137,256,8,6,1,0,8192,0.0014,7603
1138,256,8,6,1,0,16384,0.0012,7052
1139,256,8,6,1,0,32768,0.0013,7454
1141,256,8,6,2,0,1024,0.0009,7623
1142,256,8,6,2,0,2048,0.0010,7797
1143,256,8,6,2,0,4096,0.0010,8060
1144,256,8,6,2,0,8192,0.0010,7100
1145,256,8,6,2,0,16384,0.0010,7619
1146,256,8,6,2,0,32768,0.0009,7491
1147,256,8,6,2,0,65536,0.0009,7616
1149,256,8,6,3,0,2048,0.0017,7935
1152,256,8,6,3,0,16384,0.0018,7088
1154,256,8,6,3,0,65536,0.0016,7087
1156,256,8,7,1,0,2048,0.0015,7389
1157,256,8,7,1,0,4096,0.0016,7953
1158,256,8,7,1,0,8192,0.0015,7135
1159,256,8,7,1,0,16384,0.0015,7110
1160,256,8,7,1,0,32768,0.0015,7308
1161,256,8,7,1,0,65536,0.0014,7034
1163,256,8,7,2,0,2048,0.0010,7832
1164,256,8,7,2,0,4096,0.0010,7775
1165,256,8,7,2,0,8192,0.0010,7110
1166,256,8,7,2,0,16384,0.0010,6994
1168,256,8,7,2,0,65536,0.0009,7676
1170,256,8,7,3,0,2048,0.0017,7629
1172,256,8,7,3,0,8192,0.0018,9443
1173,256,8,7,3,0,16384,0.0015,7390
1174,256,8,7,3,0,32768,0.0015,7379
1175,256,8,7,3,0,65536,0.0015,7316
1176,256,9,1,1,0,1024,0.0023,7580
1177,256,9,1,1,0,2048,0.0022,7550
1178,256,9,1,1,0,4096,0.0024,7386
1180,256,9,1,1,0,16384,0.0025,7057
1182,256,9,1,1,0,65536,0.0023,7530
1184,256,9,1,2,0,2048,0.0021,7708
1185,256,9,1,2,0,4096,0.0019,7748
1186,256,9,1,2,0,8192,0.0021,7435
1187,256,9,1,2,0,16384,0.0021,7137
1188,256,9,1,2,0,32768,0.0020,7409
1189,256,9,1,2,0,65536,0.0021,7549
1190,256,9,1,3,0,1024,0.0018,8297
1191,256,9,1,3,0,2048,0.0020,7868
1194,256,9,1,3,0,16384,0.0019,7049
1195,256,9,1,3,0,32768,0.0020,7104
1196,256,9,1,3,0,65536,0.0019,7135
1197,256,9,2,1,0,1024,0.0019,7737
1201,256,9,2,1,0,16384,0.0020,7524
1202,256,9,2,1,0,32768,0.0020,7504
1203,256,9,2,1,0,65536,0.0020,7495
1204,256,9,2,2,0,1024,0.0017,8050
1205,256,9,2,2,0,2048,0.0017,7518
1206,256,9,2,2,0,4096,0.0018,7525
1207,256,9,2,2,0,8192,0.0018,7261
1208,256,9,2,2,0,16384,0.0017,7138
1209,256,9,2,2,0,32768,0.0016,7154
1211,256,9,2,3,0,1024,0.0016,8509
1214,256,9,2,3,0,8192,0.0016,7236
1216,256,9,2,3,0,32768,0.0016,7071
1217,256,9,2,3,0,65536,0.0016,7637
1219,256,9,3,1,0,2048,0.0014,8201
1220,256,9,3,1,0,4096,0.0014,7610
1221,256,9,3,1,0,8192,0.0013,7463
1223,256,9,3,1,0,32768,0.0013,7101
1224,256,9,3,1,0,65536,0.0013,7524
1226,256,9,3,2,0,2048,0.0019,7833
1227,256,9,3,2,0,4096,0.0018,7974
1228,256,9,3,2,0,8192,0.0018,7401
1229,256,9,3,2,0,16384,0.0018,7074
1230,256,9,3,2,0,32768,0.0017,7440
1232,256,9,3,3,0,1024,0.0017,7793
1234,256,9,3,3,0,4096,0.0017,7684
1236,256,9,3,3,0,16384,0.0017,7036
1238,256,9,3,3,0,65536,0.0016,7124
1239,256,9,4,1,0,1024,0.0014,7988
1240,256,9,4,1,0,2048,0.0014,7909
1241,256,9,4,1,0,4096,0.0014,7747
1242,256,9,4,1,0,8192,0.0014,7701
1245,256,9,4,1,0,65536,0.0014,7569
1246,256,9,4,2,0,1024,0.0017,8295
1249,256,9,4,2,0,8192,0.0017,7644
1252,256,9,4,2,0,65536,0.0016,7515
1254,256,9,4,3,0,2048,0.0015,7484
1256,256,9,4,3,0,8192,0.0014,7301
1257,256,9,4,3,0,16384,0.0015,7087
1259,256,9,4,3,0,65536,0.0015,7212
1260,256,9,5,1,0,1024,0.0014,8146
1262,256,9,5,1,0,4096,0.0014,7656
1263,256,9,5,1,0,8192,0.0013,7188
1264,256,9,5,1,0,16384,0.0014,7552
1265,256,9,5,1,0,32768,0.0013,7506
1266,256,9,5,1,0,65536,0.0014,7546
1267,256,9,5,2,0,1024,0.0016,7862
1268,256,9,5,2,0,2048,0.0016,7609
1269,256,9,5,2,0,4096,0.0016,7736
1271,256,9,5,2,0,16384,0.0017,7191
1273,256,9,5,2,0,65536,0.0016,7413
1276,256,9,5,3,0,4096,0.0017,7865
1277,256,9,5,3,0,8192,0.0016,7463
1278,256,9,5,3,0,16384,0.0018,9320
1279,256,9,5,3,0,32768,0.0018,9306
1280,256,9,5,3,0,65536,0.0016,9337
1281,256,9,6,1,0,1024,0.0014,7679
1282,256,9,6,1,0,2048,0.0013,7385
1283,256,9,6,1,0,4096,0.0013,7255
1284,256,9,6,1,0,8192,0.0013,7603
1285,256,9,6,1,0,16384,0.0012,7052
1286,256,9,6,1,0,32768,0.0013,7454
1288,256,9,6,2,0,1024,0.0009,7623
1290,256,9,6,2,0,4096,0.0010,8060
1291,256,9,6,2,0,8192,0.0010,7100
1292,256,9,6,2,0,16384,0.0010,7619
1293,256,9,6,2,0,32768,0.0009,7491
1294,256,9,6,2,0,65536,0.0009,7616
1295,256,9,6,3,0,1024,0.0018,7898
1299,256,9,6,3,0,16384,0.0018,7088
1301,256,9,6,3,0,65536,0.0016,7087
1303,256,9,7,1,0,2048,0.0015,7389
1306,256,9,7,1,0,16384,0.0015,7110
1308,256,9,7,1,0,65536,0.0014,7034
1310,256,9,7,2,0,2048,0.0010,7832
1311,256,9,7,2,0,4096,0.0010,7775
1312,256,9,7,2,0,8192,0.0010,7110
1315,256,9,7,2,0,65536,0.0009,7676
1317,256,9,7,3,0,2048,0.0016,7628
1319,256,9,7,3,0,8192,0.0018,9443
1320,256,9,7,3,0,16384,0.0015,7375
1321,256,9,7,3,0,32768,0.0015,7379
1322,256,9,7,3,0,65536,0.0015,7316
1323,256,10,1,1,0,1024,0.0023,7580
1324,256,10,1,1,0,2048,0.0022,7550
1325,256,10,1,1,0,4096,0.0024,7386
1326,256,10,1,1,0,8192,0.0024,7056
1327,256,10,1,1,0,16384,0.0025,7057
1329,256,10,1,1,0,65536,0.0023,7530
1331,256,10,1,2,0,2048,0.0021,7708
1332,256,10,1,2,0,4096,0.0019,7748
1333,256,10,1,2,0,8192,0.0021,7435
1334,256,10,1,2,0,16384,0.0021,7137
1335,256,10,1,2,0,32768,0.0020,7409
1336,256,10,1,2,0,65536,0.0021,7555
1337,256,10,1,3,0,1024,0.0018,8297
1338,256,10,1,3,0,2048,0.0020,7868
1341,256,10,1,3,0,16384,0.0019,7049
1342,256,10,1,3,0,32768,0.0020,7104
1343,256,10,1,3,0,65536,0.0019,7135
1344,256,10,2,1,0,1024,0.0019,7737
1349,256,10,2,1,0,32768,0.0020,7504
1350,256,10,2,1,0,65536,0.0020,7495
1351,256,10,2,2,0,1024,0.0017,8050
1352,256,10,2,2,0,2048,0.0017,7518
1353,256,10,2,2,0,4096,0.0018,7525
1354,256,10,2,2,0,8192,0.0018,7261
1355,256,10,2,2,0,16384,0.0017,7138
1356,256,10,2,2,0,32768,0.0016,7154
1358,256,10,2,3,0,1024,0.0016,8509
1360,256,10,2,3,0,4096,0.0016,7845
1363,256,10,2,3,0,32768,0.0016,7071
1364,256,10,2,3,0,65536,0.0016,7637
1365,256,10,3,1,0,1024,0.0013,8151
1366,256,10,3,1,0,2048,0.0014,8201
1367,256,10,3,1,0,4096,0.0014,7610
1368,256,10,3,1,0,8192,0.0013,7463
1370,256,10,3,1,0,32768,0.0013,7101
1371,256,10,3,1,0,65536,0.0013,7524
1372,256,10,3,2,0,1024,0.0018,8008
1373,256,10,3,2,0,2048,0.0019,7833
1374,256,10,3,2,0,4096,0.0018,7974
1375,256,10,3,2,0,8192,0.0018,7401
1376,256,10,3,2,0,16384,0.0019,7071
1377,256,10,3,2,0,32768,0.0017,7440
1379,256,10,3,3,0,1024,0.0017,7793
1380,256,10,3,3,0,2048,0.0017,7395
1381,256,10,3,3,0,4096,0.0017,7684
1383,256,10,3,3,0,16384,0.0017,7036
1385,256,10,3,3,0,65536,0.0016,7124
1386,256,10,4,1,0,1024,0.0014,7988
1387,256,10,4,1,0,2048,0.0014,7909
1392,256,10,4,1,0,65536,0.0014,7569
1393,256,10,4,2,0,1024,0.0017,8295
1396,256,10,4,2,0,8192,0.0017,7644
1398,256,10,4,2,0,32768,0.0017,7081
1399,256,10,4,2,0,65536,0.0016,7515
1400,256,10,4,3,0,1024,0.0015,7721
1403,256,10,4,3,0,8192,0.0014,7301
1404,256,10,4,3,0,16384,0.0015,7081
1406,256,10,4,3,0,65536,0.0015,7212
1409,256,10,5,1,0,4096,0.0014,7656
1410,256,10,5,1,0,8192,0.0013,7188
1411,256,10,5,1,0,16384,0.0014,7552
1412,256,10,5,1,0,32768,0.0013,7506
1413,256,10,5,1,0,65536,0.0014,7546
1414,256,10,5,2,0,1024,0.0016,7862
1415,256,10,5,2,0,2048,0.0016,7609
1416,256,10,5,2,0,4096,0.0016,7736
1418,256,10,5,2,0,16384,0.0017,7191
1420,256,10,5,2,0,65536,0.0016,7413
1423,256,10,5,3,0,4096,0.0017,7865
1424,256,10,5,3,0,8192,0.0016,7472
1425,256,10,5,3,0,16384,0.0018,9320
1426,256,10,5,3,0,32768,0.0018,9306
1427,256,10,5,3,0,65536,0.0016,9337
1428,256,10,6,1,0,1024,0.0014,7679
1429,256,10,6,1,0,2048,0.0014,7769
1430,256,10,6,1,0,4096,0.0013,7255
1431,256,10,6,1,0,8192,0.0013,7603
1432,256,10,6,1,0,16384,0.0012,7052
1433,256,10,6,1,0,32768,0.0013,7454
1434,256,10,6,1,0,65536,0.0013,7439
1435,256,10,6,2,0,1024,0.0009,7623
1436,256,10,6,2,0,2048,0.0010,7797
1437,256,10,6,2,0,4096,0.0010,8060
1438,256,10,6,2,0,8192,0.0010,7100
1439,256,10,6,2,0,16384,0.0010,7619
1440,256,10,6,2,0,32768,0.0009,7491
1441,256,10,6,2,0,65536,0.0009,7616
1443,256,10,6,3,0,2048,0.0017,7935
1445,256,10,6,3,0,8192,0.0017,7600
1446,256,10,6,3,0,16384,0.0018,7079
1448,256,10,6,3,0,65536,0.0016,7087
1450,256,10,7,1,0,2048,0.0015,7389
1451,256,10,7,1,0,4096,0.0016,7953
1453,256,10,7,1,0,16384,0.0015,7110
1455,256,10,7,1,0,65536,0.0014,7034
1457,256,10,7,2,0,2048,0.0010,7832
1458,256,10,7,2,0,4096,0.0010,7775
1459,256,10,7,2,0,8192,0.0010,7110
1461,256,10,7,2,0,32768,0.0009,7848
1462,256,10,7,2,0,65536,0.0009,7676
1464,256,10,7,3,0,2048,0.0017,7629
1466,256,10,7,3,0,8192,0.0018,9443
1467,256,10,7,3,0,16384,0.0015,7375
1468,256,10,7,3,0,32768,0.0015,7379
1469,256,10,7,3,0,65536,0.0015,7316
1470,256,11,1,1,0,1024,0.0023,7580
1471,256,11,1,1,0,2048,0.0022,7550
1472,256,11,1,1,0,4096,0.0024,7386
1473,256,11,1,1,0,8192,0.0024,7056
1474,256,11,1,1,0,16384,0.0025,7057
1475,256,11,1,1,0,32768,0.0023,7551
1476,256,11,1,1,0,65536,0.0023,7530
1478,256,11,1,2,0,2048,0.0021,7708
1479,256,11,1,2,0,4096,0.0019,7748
1481,256,11,1,2,0,16384,0.0021,7137
1482,256,11,1,2,0,32768,0.0020,7409
1483,256,11,1,2,0,65536,0.0021,7549
1484,256,11,1,3,0,1024,0.0018,8297
1485,256,11,1,3,0,2048,0.0020,7868
1488,256,11,1,3,0,16384,0.0019,7049
1489,256,11,1,3,0,32768,0.0020,7104
1490,256,11,1,3,0,65536,0.0019,7135
1491,256,11,2,1,0,1024,0.0019,7737
1492,256,11,2,1,0,2048,0.0021,8025
1493,256,11,2,1,0,4096,0.0021,7740
1496,256,11,2,1,0,32768,0.0020,7504
1497,256,11,2,1,0,65536,0.0020,7495
1498,256,11,2,2,0,1024,0.0017,8050
1499,256,11,2,2,0,2048,0.0017,7518
1500,256,11,2,2,0,4096,0.0018,7525
1501,256,11,2,2,0,8192,0.0018,7261
1502,256,11,2,2,0,16384,0.0017,7138
1503,256,11,2,2,0,32768,0.0016,7154
1506,256,11,2,3,0,2048,0.0018,7987
1510,256,11,2,3,0,32768,0.0016,7071
1511,256,11,2,3,0,65536,0.0016,7637
1513,256,11,3,1,0,2048,0.0014,8201
1514,256,11,3,1,0,4096,0.0014,7610
1515,256,11,3,1,0,8192,0.0013,7463
1517,256,11,3,1,0,32768,0.0013,7101
1518,256,11,3,1,0,65536,0.0013,7524
1520,256,11,3,2,0,2048,0.0019,7833
1522,256,11,3,2,0,8192,0.0018,7401
1523,256,11,3,2,0,16384,0.0018,7074
1524,256,11,3,2,0,32768,0.0017,7440
1526,256,11,3,3,0,1024,0.0017,7793
1528,256,11,3,3,0,4096,0.0017,7684
1530,256,11,3,3,0,16384,0.0017,7036
1532,256,11,3,3,0,65536,0.0016,7124
1534,256,11,4,1,0,2048,0.0014,7909
1536,256,11,4,1,0,8192,0.0014,7701
1539,256,11,4,1,0,65536,0.0014,7569
1540,256,11,4,2,0,1024,0.0017,8295
1543,256,11,4,2,0,8192,0.0017,7644
1546,256,11,4,2,0,65536,0.0016,7515
1548,256,11,4,3,0,2048,0.0015,7484
1549,256,11,4,3,0,4096,0.0016,7526
1550,256,11,4,3,0,8192,0.0014,7301
1551,256,11,4,3,0,16384,0.0015,7087
1553,256,11,4,3,0,65536,0.0015,7212
1554,256,11,5,1,0,1024,0.0014,8146
1556,256,11,5,1,0,4096,0.0014,7656
1557,256,11,5,1,0,8192,0.0013,7188
1558,256,11,5,1,0,16384,0.0014,7552
1559,256,11,5,1,0,32768,0.0013,7506
1560,256,11,5,1,0,65536,0.0014,7546
1561,256,11,5,2,0,1024,0.0016,7862
1562,256,11,5,2,0,2048,0.0016,7609
1563,256,11,5,2,0,4096,0.0016,7736
1565,256,11,5,2,0,16384,0.0017,7191
1566,256,11,5,2,0,32768,0.0016,7656
1567,256,11,5,2,0,65536,0.0016,7413
1570,256,11,5,3,0,4096,0.0017,7865
1571,256,11,5,3,0,8192,0.0016,7463
1572,256,11,5,3,0,16384,0.0018,9320
1573,256,11,5,3,0,32768,0.0018,9306
1574,256,11,5,3,0,65536,0.0016,9337
1575,256,11,6,1,0,1024,0.0014,7679
1576,256,11,6,1,0,2048,0.0013,7385
1578,256,11,6,1,0,8192,0.0013,7603
1579,256,11,6,1,0,16384,0.0012,7052
1580,256,11,6,1,0,32768,0.0013,7454
1582,256,11,6,2,0,1024,0.0009,7623
1584,256,11,6,2,0,4096,0.0010,8060
1585,256,11,6,2,0,8192,0.0010,7100
1586,256,11,6,2,0,16384,0.0010,7619
1587,256,11,6,2,0,32768,0.0009,7491
1588,256,11,6,2,0,65536,0.0009,7616
1593,256,11,6,3,0,16384,0.0018,7088
1595,256,11,6,3,0,65536,0.0016,7087
1596,256,11,7,1,0,1024,0.0015,7677
1597,256,11,7,1,0,2048,0.0015,7389
1600,256,11,7,1,0,16384,0.0015,7110
1602,256,11,7,1,0,65536,0.0014,7034
1603,256,11,7,2,0,1024,0.0009,7657
1604,256,11,7,2,0,2048,0.0010,7832
1605,256,11,7,2,0,4096,0.0010,7775
1606,256,11,7,2,0,8192,0.0010,7110
1607,256,11,7,2,0,16384,0.0010,6994
1609,256,11,7,2,0,65536,0.0009,7676
