n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2,lut,ff,dsp,bram
0530,256,4,5,1,0,32768,0.001308,7506,42785,8659,0,17.5
0531,256,4,5,1,0,65536,0.001357,7546,42755,8613,0,17.5
0532,256,4,5,2,0,1024,0.001560,7862,45603,9551,0,33.5
0533,256,4,5,2,0,2048,0.001616,7609,44082,9065,0,17.5
0534,256,4,5,2,0,4096,0.001613,7736,43398,8855,0,17.5
0536,256,4,5,2,0,16384,0.001700,7191,43041,8682,0,17.5
0538,256,4,5,2,0,65536,0.001589,7413,42800,8625,0,17.5
0540,256,4,5,3,0,2048,0.001546,7936,45122,9243,0,17.5
0541,256,4,5,3,0,4096,0.001652,7865,43871,8927,0,17.5
0542,256,4,5,3,0,8192,0.001602,7463,43781,8753,0,17.5
0543,256,4,5,3,0,16384,0.001784,9320,53099,8668,0,17.5
0544,256,4,5,3,0,32768,0.001788,9306,52931,8644,0,17.5
0545,256,4,5,3,0,65536,0.001591,9337,52920,8634,0,17.5
0546,256,4,6,1,0,1024,0.001360,7679,45471,9463,0,33.5
0547,256,4,6,1,0,2048,0.001358,7769,44331,9029,0,17.5
0548,256,4,6,1,0,4096,0.001325,7255,43299,8821,0,17.5
0549,256,4,6,1,0,8192,0.001315,7603,42976,8710,0,17.5
0550,256,4,6,1,0,16384,0.001235,7052,42771,8650,0,17.5
0551,256,4,6,1,0,32768,0.001311,7454,42742,8634,0,17.5
0553,256,4,6,2,0,1024,0.000884,7623,44656,9261,0,33.5
0555,256,4,6,2,0,4096,0.000990,8060,43179,8711,0,17.5
0556,256,4,6,2,0,8192,0.000972,7100,42951,8622,0,17.5
0557,256,4,6,2,0,16384,0.000991,7619,42852,8579,0,17.5
0558,256,4,6,2,0,32768,0.000926,7491,42764,8557,0,17.5
0559,256,4,6,2,0,65536,0.000872,7616,42768,8547,0,17.5
0561,256,4,6,3,0,2048,0.001669,7935,44468,9354,0,17.5
0564,256,4,6,3,0,16384,0.001791,7088,42993,8787,0,17.5
0565,256,4,6,3,0,32768,0.001752,7262,42924,8763,0,17.5
0566,256,4,6,3,0,65536,0.001628,7087,42901,8714,0,17.5
0568,256,4,7,1,0,2048,0.001546,7389,44236,9082,0,17.5
0569,256,4,7,1,0,4096,0.001618,7953,43860,8879,0,17.5
0571,256,4,7,1,0,16384,0.001471,7110,42926,8697,0,17.5
0572,256,4,7,1,0,32768,0.001495,7308,42860,8681,0,17.5
0573,256,4,7,1,0,65536,0.001449,7034,42808,8635,0,17.5
0575,256,4,7,2,0,2048,0.000983,7832,43928,9052,0,17.5
0576,256,4,7,2,0,4096,0.000968,7775,43689,8850,0,17.5
0577,256,4,7,2,0,8192,0.000982,7110,43069,8727,0,17.5
0579,256,4,7,2,0,32768,0.000949,7848,42875,8652,0,17.5
0580,256,4,7,2,0,65536,0.000934,7676,42831,8620,0,17.5
0581,256,4,7,3,0,1024,0.001753,9989,56161,10045,0,33.5
0582,256,4,7,3,0,2048,0.001669,7629,45698,9384,0,17.5
0583,256,4,7,3,0,4096,0.001524,7490,44959,9077,0,17.5
0584,256,4,7,3,0,8192,0.001761,9443,53335,8899,0,17.5
0585,256,4,7,3,0,16384,0.001548,7375,44296,8816,0,17.5
0586,256,4,7,3,0,32768,0.001538,7379,44218,8792,0,17.5
0587,256,4,7,3,0,65536,0.001517,7316,44129,8741,0,17.5
0588,256,5,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
0589,256,5,1,1,0,2048,0.002245,7550,44285,8971,0,17.5
0590,256,5,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
0591,256,5,1,1,0,8192,0.002410,7056,43019,8641,0,17.5
0592,256,5,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
0593,256,5,1,1,0,32768,0.002308,7551,42730,8570,0,17.5
0594,256,5,1,1,0,65536,0.002331,7530,42680,8544,0,17.5
0595,256,5,1,2,0,1024,0.001931,7634,45006,9379,0,33.5
0596,256,5,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
0597,256,5,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
0598,256,5,1,2,0,8192,0.002050,7435,42921,8638,0,17.5
0600,256,5,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
0601,256,5,1,2,0,65536,0.002122,7549,42729,8539,0,17.5
0602,256,5,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
0603,256,5,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
0605,256,5,1,3,0,8192,0.001936,7159,43181,8766,0,17.5
0606,256,5,1,3,0,16384,0.001925,7059,42977,8688,0,17.5
0607,256,5,1,3,0,32768,0.002035,7104,42875,8666,0,17.5
0608,256,5,1,3,0,65536,0.001863,7135,42822,8654,0,17.5
0609,256,5,2,1,0,1024,0.001896,7737,45512,9366,0,33.5
0611,256,5,2,1,0,4096,0.002122,7740,43469,8736,0,17.5
0614,256,5,2,1,0,32768,0.002034,7504,42764,8550,0,17.5
0615,256,5,2,1,0,65536,0.002038,7495,42735,8501,0,17.5
0616,256,5,2,2,0,1024,0.001685,8050,45236,9361,0,33.5
0617,256,5,2,2,0,2048,0.001654,7518,43897,8944,0,17.5
0618,256,5,2,2,0,4096,0.001752,7525,43303,8733,0,17.5
0620,256,5,2,2,0,16384,0.001724,7138,42858,8569,0,17.5
0621,256,5,2,2,0,32768,0.001641,7154,42757,8546,0,17.5
0623,256,5,2,3,0,1024,0.001607,8509,45946,9848,0,33.5
0628,256,5,2,3,0,32768,0.001593,7071,42887,8644,0,17.5
0629,256,5,2,3,0,65536,0.001631,7637,42926,8613,0,17.5
0630,256,5,3,1,0,1024,0.001324,8151,45148,9366,0,33.5
0631,256,5,3,1,0,2048,0.001365,8201,43746,8972,0,17.5
0632,256,5,3,1,0,4096,0.001384,7610,43240,8777,0,17.5
0633,256,5,3,1,0,8192,0.001326,7463,43134,8677,0,17.5
0634,256,5,3,1,0,16384,0.001346,7527,42877,8628,0,17.5
0635,256,5,3,1,0,32768,0.001344,7101,42820,8612,0,17.5
0636,256,5,3,1,0,65536,0.001404,7538,42777,8590,0,17.5
0637,256,5,3,2,0,1024,0.001756,8008,45006,9414,0,33.5
0638,256,5,3,2,0,2048,0.001860,7833,43729,9000,0,17.5
0639,256,5,3,2,0,4096,0.001836,7974,43224,8786,0,17.5
0640,256,5,3,2,0,8192,0.001827,7401,42985,8673,0,17.5
0641,256,5,3,2,0,16384,0.001842,7074,42891,8624,0,17.5
0642,256,5,3,2,0,32768,0.001744,7440,42794,8601,0,17.5
0643,256,5,3,2,0,65536,0.001841,7128,42754,8559,0,17.5
0644,256,5,3,3,0,1024,0.001685,7793,46304,9877,0,33.5
0646,256,5,3,3,0,4096,0.001664,7684,43672,8958,0,17.5
0647,256,5,3,3,0,8192,0.001775,7476,43269,8778,0,17.5
0648,256,5,3,3,0,16384,0.001698,7036,43036,8697,0,17.5
0649,256,5,3,3,0,32768,0.001752,8067,42982,8673,0,17.5
0650,256,5,3,3,0,65536,0.001646,7124,42951,8655,0,17.5
0652,256,5,4,1,0,2048,0.001357,7909,43948,8994,0,17.5
0653,256,5,4,1,0,4096,0.001385,7747,43678,8801,0,17.5
0655,256,5,4,1,0,16384,0.001314,7083,42721,8625,0,17.5
0656,256,5,4,1,0,32768,0.001436,7370,42653,8599,0,17.5
0657,256,5,4,1,0,65536,0.001358,7569,42687,8562,0,17.5
0658,256,5,4,2,0,1024,0.001718,8295,45033,9463,0,33.5
0661,256,5,4,2,0,8192,0.001667,7644,42998,8661,0,17.5
0664,256,5,4,2,0,65536,0.001623,7515,42749,8553,0,17.5
0666,256,5,4,3,0,2048,0.001459,7484,44564,9280,0,17.5
0667,256,5,4,3,0,4096,0.001600,7526,43681,8973,0,17.5
0668,256,5,4,3,0,8192,0.001441,7301,43214,8792,0,17.5
0669,256,5,4,3,0,16384,0.001485,7087,42973,8712,0,17.5
0671,256,5,4,3,0,65536,0.001492,7212,42885,8637,0,17.5
0674,256,5,5,1,0,4096,0.001375,7656,43488,8845,0,17.5
0675,256,5,5,1,0,8192,0.001301,7188,43144,8738,0,17.5
0676,256,5,5,1,0,16384,0.001399,7552,42905,8677,0,17.5
0677,256,5,5,1,0,32768,0.001308,7506,42785,8659,0,17.5
0678,256,5,5,1,0,65536,0.001357,7546,42755,8613,0,17.5
0679,256,5,5,2,0,1024,0.001560,7862,45603,9551,0,33.5
0680,256,5,5,2,0,2048,0.001616,7609,44082,9065,0,17.5
0681,256,5,5,2,0,4096,0.001613,7736,43398,8855,0,17.5
0682,256,5,5,2,0,8192,0.001655,7117,43153,8738,0,17.5
0683,256,5,5,2,0,16384,0.001700,7191,43041,8682,0,17.5
0684,256,5,5,2,0,32768,0.001638,7656,42887,8658,0,17.5
0685,256,5,5,2,0,65536,0.001589,7413,42800,8625,0,17.5
0688,256,5,5,3,0,4096,0.001652,7865,43871,8927,0,17.5
0689,256,5,5,3,0,8192,0.001602,7463,43781,8753,0,17.5
0690,256,5,5,3,0,16384,0.001784,9320,53099,8668,0,17.5
0691,256,5,5,3,0,32768,0.001788,9306,52931,8644,0,17.5
0692,256,5,5,3,0,65536,0.001591,9337,52920,8634,0,17.5
0693,256,5,6,1,0,1024,0.001360,7679,45471,9463,0,33.5
0694,256,5,6,1,0,2048,0.001358,7769,44331,9029,0,17.5
0696,256,5,6,1,0,8192,0.001315,7603,42976,8710,0,17.5
0697,256,5,6,1,0,16384,0.001235,7052,42771,8650,0,17.5
0698,256,5,6,1,0,32768,0.001311,7454,42742,8634,0,17.5
0700,256,5,6,2,0,1024,0.000884,7623,44656,9261,0,33.5
0702,256,5,6,2,0,4096,0.000990,8060,43179,8711,0,17.5
0703,256,5,6,2,0,8192,0.000972,7100,42951,8622,0,17.5
0704,256,5,6,2,0,16384,0.000991,7619,42852,8579,0,17.5
0705,256,5,6,2,0,32768,0.000926,7491,42764,8557,0,17.5
0706,256,5,6,2,0,65536,0.000872,7616,42768,8547,0,17.5
0711,256,5,6,3,0,16384,0.001791,7088,42993,8787,0,17.5
0713,256,5,6,3,0,65536,0.001664,7095,42903,8714,0,17.5
0715,256,5,7,1,0,2048,0.001546,7389,44236,9082,0,17.5
0716,256,5,7,1,0,4096,0.001618,7953,43860,8879,0,17.5
0717,256,5,7,1,0,8192,0.001517,7135,43156,8756,0,17.5
0718,256,5,7,1,0,16384,0.001471,7110,42926,8697,0,17.5
0719,256,5,7,1,0,32768,0.001495,7308,42860,8681,0,17.5
0720,256,5,7,1,0,65536,0.001440,7031,42809,8635,0,17.5
0721,256,5,7,2,0,1024,0.000935,7657,45464,9506,0,33.5
0722,256,5,7,2,0,2048,0.000983,7832,43928,9052,0,17.5
0723,256,5,7,2,0,4096,0.000968,7775,43689,8850,0,17.5
0724,256,5,7,2,0,8192,0.000982,7110,43069,8727,0,17.5
0727,256,5,7,2,0,65536,0.000934,7676,42831,8620,0,17.5
0729,256,5,7,3,0,2048,0.001669,7629,45698,9384,0,17.5
0730,256,5,7,3,0,4096,0.001514,7490,44959,9077,0,17.5
0731,256,5,7,3,0,8192,0.001761,9443,53335,8899,0,17.5
0732,256,5,7,3,0,16384,0.001548,7375,44296,8816,0,17.5
0733,256,5,7,3,0,32768,0.001538,7379,44218,8792,0,17.5
0734,256,5,7,3,0,65536,0.001517,7316,44129,8741,0,17.5
0735,256,6,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
0737,256,6,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
0738,256,6,1,1,0,8192,0.002410,7056,43019,8641,0,17.5
0739,256,6,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
0740,256,6,1,1,0,32768,0.002308,7551,42730,8570,0,17.5
0741,256,6,1,1,0,65536,0.002331,7530,42680,8544,0,17.5
0743,256,6,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
0744,256,6,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
0745,256,6,1,2,0,8192,0.002050,7435,42921,8638,0,17.5
0746,256,6,1,2,0,16384,0.002069,7137,42849,8586,0,17.5
0747,256,6,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
0749,256,6,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
0750,256,6,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
0753,256,6,1,3,0,16384,0.001934,7049,42980,8688,0,17.5
0754,256,6,1,3,0,32768,0.002035,7104,42875,8666,0,17.5
0755,256,6,1,3,0,65536,0.002046,7146,42823,8654,0,17.5
0756,256,6,2,1,0,1024,0.001896,7737,45512,9366,0,33.5
0757,256,6,2,1,0,2048,0.002100,8025,44310,8947,0,17.5
0758,256,6,2,1,0,4096,0.002122,7740,43469,8736,0,17.5
0761,256,6,2,1,0,32768,0.002034,7504,42764,8550,0,17.5
0762,256,6,2,1,0,65536,0.002038,7495,42735,8501,0,17.5
0763,256,6,2,2,0,1024,0.001685,8050,45236,9361,0,33.5
0764,256,6,2,2,0,2048,0.001654,7518,43897,8944,0,17.5
0765,256,6,2,2,0,4096,0.001752,7525,43303,8733,0,17.5
0767,256,6,2,2,0,16384,0.001724,7138,42858,8569,0,17.5
0768,256,6,2,2,0,32768,0.001641,7154,42757,8546,0,17.5
0771,256,6,2,3,0,2048,0.001774,7987,45028,9242,0,17.5
0772,256,6,2,3,0,4096,0.001637,7845,43768,8925,0,17.5
0774,256,6,2,3,0,16384,0.001585,7064,42978,8667,0,17.5
0775,256,6,2,3,0,32768,0.001593,7071,42887,8644,0,17.5
0776,256,6,2,3,0,65536,0.001631,7637,42926,8613,0,17.5
0778,256,6,3,1,0,2048,0.001365,8201,43746,8972,0,17.5
0779,256,6,3,1,0,4096,0.001384,7610,43240,8777,0,17.5
0780,256,6,3,1,0,8192,0.001326,7463,43134,8677,0,17.5
0781,256,6,3,1,0,16384,0.001346,7527,42877,8628,0,17.5
0782,256,6,3,1,0,32768,0.001344,7101,42820,8612,0,17.5
0783,256,6,3,1,0,65536,0.001315,7524,42775,8590,0,17.5
0784,256,6,3,2,0,1024,0.001756,8008,45006,9414,0,33.5
0785,256,6,3,2,0,2048,0.001860,7833,43729,9000,0,17.5
0786,256,6,3,2,0,4096,0.001836,7974,43224,8786,0,17.5
0787,256,6,3,2,0,8192,0.001827,7401,42985,8673,0,17.5
0788,256,6,3,2,0,16384,0.001842,7074,42891,8624,0,17.5
0789,256,6,3,2,0,32768,0.001744,7440,42794,8601,0,17.5
0791,256,6,3,3,0,1024,0.001685,7793,46304,9877,0,33.5
0793,256,6,3,3,0,4096,0.001664,7684,43672,8958,0,17.5
0795,256,6,3,3,0,16384,0.001698,7036,43036,8697,0,17.5
0796,256,6,3,3,0,32768,0.001752,8067,42982,8673,0,17.5
0797,256,6,3,3,0,65536,0.001646,7124,42951,8655,0,17.5
0798,256,6,4,1,0,1024,0.001370,7988,45541,9434,0,33.5
0799,256,6,4,1,0,2048,0.001357,7909,43948,8994,0,17.5
0801,256,6,4,1,0,8192,0.001420,7701,42942,8677,0,17.5
0803,256,6,4,1,0,32768,0.001436,7370,42653,8599,0,17.5
0804,256,6,4,1,0,65536,0.001358,7569,42687,8562,0,17.5
0805,256,6,4,2,0,1024,0.001718,8295,45033,9463,0,33.5
0808,256,6,4,2,0,8192,0.001667,7644,42998,8661,0,17.5
0811,256,6,4,2,0,65536,0.001623,7515,42749,8553,0,17.5
0813,256,6,4,3,0,2048,0.001459,7484,44564,9280,0,17.5
0814,256,6,4,3,0,4096,0.001600,7526,43681,8973,0,17.5
0815,256,6,4,3,0,8192,0.001441,7301,43214,8792,0,17.5
0816,256,6,4,3,0,16384,0.001485,7087,42973,8712,0,17.5
0818,256,6,4,3,0,65536,0.001492,7212,42885,8637,0,17.5
0819,256,6,5,1,0,1024,0.001353,8146,46093,9502,0,33.5
0821,256,6,5,1,0,4096,0.001375,7656,43488,8845,0,17.5
0822,256,6,5,1,0,8192,0.001301,7188,43144,8738,0,17.5
0823,256,6,5,1,0,16384,0.001399,7552,42905,8677,0,17.5
0824,256,6,5,1,0,32768,0.001308,7506,42785,8659,0,17.5
0825,256,6,5,1,0,65536,0.001357,7546,42755,8613,0,17.5
0826,256,6,5,2,0,1024,0.001560,7862,45603,9551,0,33.5
0827,256,6,5,2,0,2048,0.001616,7609,44082,9065,0,17.5
0828,256,6,5,2,0,4096,0.001613,7736,43398,8855,0,17.5
0830,256,6,5,2,0,16384,0.001700,7191,43041,8682,0,17.5
0832,256,6,5,2,0,65536,0.001589,7413,42800,8625,0,17.5
0835,256,6,5,3,0,4096,0.001652,7865,43871,8927,0,17.5
0836,256,6,5,3,0,8192,0.001602,7463,43781,8753,0,17.5
0837,256,6,5,3,0,16384,0.001784,9320,53099,8668,0,17.5
0838,256,6,5,3,0,32768,0.001788,9306,52931,8644,0,17.5
0839,256,6,5,3,0,65536,0.001756,9334,52921,8634,0,17.5
0840,256,6,6,1,0,1024,0.001360,7679,45471,9463,0,33.5
0841,256,6,6,1,0,2048,0.001358,7769,44331,9029,0,17.5
0842,256,6,6,1,0,4096,0.001325,7255,43299,8821,0,17.5
0843,256,6,6,1,0,8192,0.001315,7603,42976,8710,0,17.5
0844,256,6,6,1,0,16384,0.001235,7052,42771,8650,0,17.5
0845,256,6,6,1,0,32768,0.001311,7454,42742,8634,0,17.5
0846,256,6,6,1,0,65536,0.001259,7439,42745,8593,0,17.5
0847,256,6,6,2,0,1024,0.000884,7623,44656,9261,0,33.5
0849,256,6,6,2,0,4096,0.000990,8060,43179,8711,0,17.5
0850,256,6,6,2,0,8192,0.000972,7100,42951,8622,0,17.5
0851,256,6,6,2,0,16384,0.000991,7619,42852,8579,0,17.5
0852,256,6,6,2,0,32768,0.000926,7491,42764,8557,0,17.5
0853,256,6,6,2,0,65536,0.000872,7616,42768,8547,0,17.5
0856,256,6,6,3,0,4096,0.001666,7265,43599,9048,0,17.5
0858,256,6,6,3,0,16384,0.001791,7088,42993,8787,0,17.5
0859,256,6,6,3,0,32768,0.001752,7262,42924,8763,0,17.5
0860,256,6,6,3,0,65536,0.001628,7087,42901,8714,0,17.5
0862,256,6,7,1,0,2048,0.001546,7389,44236,9082,0,17.5
0863,256,6,7,1,0,4096,0.001618,7953,43860,8879,0,17.5
0864,256,6,7,1,0,8192,0.001517,7135,43156,8756,0,17.5
0865,256,6,7,1,0,16384,0.001471,7110,42926,8697,0,17.5
0867,256,6,7,1,0,65536,0.001449,7034,42808,8635,0,17.5
0868,256,6,7,2,0,1024,0.000919,7651,45460,9506,0,33.5
0869,256,6,7,2,0,2048,0.000983,7832,43928,9052,0,17.5
0870,256,6,7,2,0,4096,0.000968,7775,43689,8850,0,17.5
0871,256,6,7,2,0,8192,0.000982,7110,43069,8727,0,17.5
0874,256,6,7,2,0,65536,0.000934,7676,42831,8620,0,17.5
0876,256,6,7,3,0,2048,0.001669,7629,45698,9384,0,17.5
0878,256,6,7,3,0,8192,0.001761,9443,53335,8899,0,17.5
0879,256,6,7,3,0,16384,0.001541,7390,44296,8816,0,17.5
0880,256,6,7,3,0,32768,0.001538,7379,44218,8792,0,17.5
0881,256,6,7,3,0,65536,0.001517,7316,44129,8741,0,17.5
0882,256,7,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
0883,256,7,1,1,0,2048,0.002245,7550,44285,8971,0,17.5
0884,256,7,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
0885,256,7,1,1,0,8192,0.002410,7056,43019,8641,0,17.5
0886,256,7,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
0888,256,7,1,1,0,65536,0.002331,7530,42680,8544,0,17.5
0890,256,7,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
0891,256,7,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
0892,256,7,1,2,0,8192,0.002050,7435,42921,8638,0,17.5
0893,256,7,1,2,0,16384,0.002069,7137,42849,8586,0,17.5
0894,256,7,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
0895,256,7,1,2,0,65536,0.002122,7549,42729,8539,0,17.5
0896,256,7,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
0897,256,7,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
0900,256,7,1,3,0,16384,0.001934,7049,42980,8688,0,17.5
0901,256,7,1,3,0,32768,0.002035,7104,42875,8666,0,17.5
0902,256,7,1,3,0,65536,0.001863,7135,42822,8654,0,17.5
0903,256,7,2,1,0,1024,0.001896,7737,45512,9366,0,33.5
0905,256,7,2,1,0,4096,0.002122,7740,43469,8736,0,17.5
0906,256,7,2,1,0,8192,0.001964,7639,43041,8620,0,17.5
0907,256,7,2,1,0,16384,0.002043,7524,42804,8576,0,17.5
0908,256,7,2,1,0,32768,0.002034,7504,42764,8550,0,17.5
0909,256,7,2,1,0,65536,0.002038,7495,42735,8501,0,17.5
0910,256,7,2,2,0,1024,0.001685,8050,45236,9361,0,33.5
0911,256,7,2,2,0,2048,0.001654,7518,43897,8944,0,17.5
0912,256,7,2,2,0,4096,0.001752,7525,43303,8733,0,17.5
0914,256,7,2,2,0,16384,0.001724,7138,42858,8569,0,17.5
0915,256,7,2,2,0,32768,0.001641,7154,42757,8546,0,17.5
0916,256,7,2,2,0,65536,0.001575,7085,42700,8529,0,17.5
0917,256,7,2,3,0,1024,0.001607,8509,45946,9848,0,33.5
0921,256,7,2,3,0,16384,0.001585,7064,42978,8667,0,17.5
0922,256,7,2,3,0,32768,0.001593,7071,42887,8644,0,17.5
0923,256,7,2,3,0,65536,0.001631,7637,42926,8613,0,17.5
0925,256,7,3,1,0,2048,0.001365,8201,43746,8972,0,17.5
0926,256,7,3,1,0,4096,0.001384,7610,43240,8777,0,17.5
0927,256,7,3,1,0,8192,0.001326,7463,43134,8677,0,17.5
0928,256,7,3,1,0,16384,0.001346,7527,42877,8628,0,17.5
0929,256,7,3,1,0,32768,0.001344,7101,42820,8612,0,17.5
0930,256,7,3,1,0,65536,0.001315,7524,42775,8590,0,17.5
0932,256,7,3,2,0,2048,0.001860,7833,43729,9000,0,17.5
0933,256,7,3,2,0,4096,0.001836,7974,43224,8786,0,17.5
0934,256,7,3,2,0,8192,0.001827,7401,42985,8673,0,17.5
0935,256,7,3,2,0,16384,0.001842,7074,42891,8624,0,17.5
0936,256,7,3,2,0,32768,0.001744,7440,42794,8601,0,17.5
0938,256,7,3,3,0,1024,0.001685,7793,46304,9877,0,33.5
0940,256,7,3,3,0,4096,0.001664,7684,43672,8958,0,17.5
0941,256,7,3,3,0,8192,0.001775,7476,43269,8778,0,17.5
0942,256,7,3,3,0,16384,0.001698,7036,43036,8697,0,17.5
0944,256,7,3,3,0,65536,0.001646,7124,42951,8655,0,17.5
0948,256,7,4,1,0,8192,0.001420,7701,42942,8677,0,17.5
0949,256,7,4,1,0,16384,0.001314,7083,42721,8625,0,17.5
0950,256,7,4,1,0,32768,0.001436,7370,42653,8599,0,17.5
0951,256,7,4,1,0,65536,0.001358,7569,42687,8562,0,17.5
0952,256,7,4,2,0,1024,0.001718,8295,45033,9463,0,33.5
0953,256,7,4,2,0,2048,0.001771,8148,43800,8993,0,17.5
0955,256,7,4,2,0,8192,0.001667,7644,42998,8661,0,17.5
0957,256,7,4,2,0,32768,0.001705,7068,42760,8586,0,17.5
0958,256,7,4,2,0,65536,0.001623,7515,42749,8553,0,17.5
0962,256,7,4,3,0,8192,0.001441,7301,43214,8792,0,17.5
0963,256,7,4,3,0,16384,0.001485,7087,42973,8712,0,17.5
0965,256,7,4,3,0,65536,0.001492,7212,42885,8637,0,17.5
0967,256,7,5,1,0,2048,0.001331,7422,44291,9059,0,17.5
0968,256,7,5,1,0,4096,0.001375,7656,43488,8845,0,17.5
0969,256,7,5,1,0,8192,0.001301,7188,43144,8738,0,17.5
0970,256,7,5,1,0,16384,0.001399,7552,42905,8677,0,17.5
0971,256,7,5,1,0,32768,0.001308,7506,42785,8659,0,17.5
0972,256,7,5,1,0,65536,0.001357,7546,42755,8613,0,17.5
0973,256,7,5,2,0,1024,0.001560,7862,45603,9551,0,33.5
0974,256,7,5,2,0,2048,0.001616,7609,44082,9065,0,17.5
0975,256,7,5,2,0,4096,0.001613,7736,43398,8855,0,17.5
0977,256,7,5,2,0,16384,0.001700,7191,43041,8682,0,17.5
0978,256,7,5,2,0,32768,0.001638,7656,42887,8658,0,17.5
0979,256,7,5,2,0,65536,0.001589,7413,42800,8625,0,17.5
0982,256,7,5,3,0,4096,0.001652,7865,43871,8927,0,17.5
0983,256,7,5,3,0,8192,0.001602,7463,43781,8753,0,17.5
0984,256,7,5,3,0,16384,0.001784,9320,53099,8668,0,17.5
0985,256,7,5,3,0,32768,0.001788,9306,52931,8644,0,17.5
0986,256,7,5,3,0,65536,0.001591,9337,52920,8634,0,17.5
0987,256,7,6,1,0,1024,0.001360,7679,45471,9463,0,33.5
0988,256,7,6,1,0,2048,0.001358,7769,44331,9029,0,17.5
0989,256,7,6,1,0,4096,0.001325,7255,43299,8821,0,17.5
0990,256,7,6,1,0,8192,0.001315,7603,42976,8710,0,17.5
0991,256,7,6,1,0,16384,0.001235,7052,42771,8650,0,17.5
0992,256,7,6,1,0,32768,0.001311,7454,42742,8634,0,17.5
0994,256,7,6,2,0,1024,0.000884,7623,44656,9261,0,33.5
0996,256,7,6,2,0,4096,0.000990,8060,43179,8711,0,17.5
0997,256,7,6,2,0,8192,0.000972,7100,42951,8622,0,17.5
0998,256,7,6,2,0,16384,0.000991,7619,42852,8579,0,17.5
0999,256,7,6,2,0,32768,0.000926,7491,42764,8557,0,17.5
1000,256,7,6,2,0,65536,0.000872,7616,42768,8547,0,17.5
1002,256,7,6,3,0,2048,0.001669,7935,44468,9354,0,17.5
1005,256,7,6,3,0,16384,0.001791,7088,42993,8787,0,17.5
1007,256,7,6,3,0,65536,0.001628,7087,42901,8714,0,17.5
1009,256,7,7,1,0,2048,0.001546,7389,44236,9082,0,17.5
1010,256,7,7,1,0,4096,0.001618,7953,43860,8879,0,17.5
1014,256,7,7,1,0,65536,0.001449,7034,42808,8635,0,17.5
1016,256,7,7,2,0,2048,0.000983,7832,43928,9052,0,17.5
1017,256,7,7,2,0,4096,0.000968,7775,43689,8850,0,17.5
1018,256,7,7,2,0,8192,0.000982,7110,43069,8727,0,17.5
1021,256,7,7,2,0,65536,0.000934,7676,42831,8620,0,17.5
1023,256,7,7,3,0,2048,0.001669,7629,45698,9384,0,17.5
1025,256,7,7,3,0,8192,0.001761,9443,53335,8899,0,17.5
1026,256,7,7,3,0,16384,0.001548,7375,44296,8816,0,17.5
1027,256,7,7,3,0,32768,0.001538,7379,44218,8792,0,17.5
1028,256,7,7,3,0,65536,0.001517,7316,44129,8741,0,17.5
1029,256,8,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
1031,256,8,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
1032,256,8,1,1,0,8192,0.002410,7056,43019,8641,0,17.5
1033,256,8,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
1034,256,8,1,1,0,32768,0.002308,7551,42730,8570,0,17.5
1035,256,8,1,1,0,65536,0.002331,7530,42680,8544,0,17.5
1037,256,8,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
1038,256,8,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
1039,256,8,1,2,0,8192,0.002050,7435,42921,8638,0,17.5
1040,256,8,1,2,0,16384,0.002069,7137,42849,8586,0,17.5
1041,256,8,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
1042,256,8,1,2,0,65536,0.002122,7549,42729,8539,0,17.5
1043,256,8,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
1044,256,8,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
