n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,knob_I_B,knob_DATA_BLOCK,obj1,obj2,FF
1486,1024,1,8,2,8,2,0,65536,7.766909,3428.474,95
1487,1024,1,8,2,8,2,0,32768,8.072168,4298.826,127
1488,1024,1,8,2,8,4,0,1048576,8.226537,2491.888,53
1489,1024,1,8,2,8,4,0,524288,8.37888,2557.058,53
1490,1024,1,8,2,8,4,0,262144,8.361953,2630.208,53
1491,1024,1,8,2,8,4,0,131072,8.565078,2872.8,63
1492,1024,1,8,2,8,4,0,65536,8.736766,3395.756,85
1493,1024,1,8,2,8,4,0,32768,9.065634,4268.768,117
1494,1024,1,8,2,8,8,0,1048576,7.680855,2533.384,56
1495,1024,1,8,2,8,8,0,524288,7.820175,2612.12,56
1496,1024,1,8,2,8,8,0,262144,7.817891,2687.132,56
1497,1024,1,8,2,8,8,0,131072,7.9161,2907.114,66
1498,1024,1,8,2,8,8,0,65536,8.254122,3441.508,88
1499,1024,1,8,2,8,8,0,32768,8.391157,4308.668,120
1500,1024,1,8,2,8,16,0,1048576,7.455168,2536.044,57
1501,1024,1,8,2,8,16,0,524288,7.590394,2616.908,57
1502,1024,1,8,2,8,16,0,262144,7.588177,2693.25,57
1503,1024,1,8,2,8,16,0,131072,7.683501,2912.7,67
1504,1024,1,8,2,8,16,0,65536,8.111347,3444.966,89
1505,1024,1,8,2,8,16,0,32768,8.401751,4312.658,121
1506,1024,1,8,2,16,2,0,1048576,7.278703,2516.892,63
1507,1024,1,8,2,16,2,0,524288,7.381886,2575.944,63
1508,1024,1,8,2,16,2,0,262144,7.407681,2654.414,63
1509,1024,1,8,2,16,2,0,131072,7.601149,2876.258,73
1510,1024,1,8,2,16,2,0,65536,7.766672,3429.538,95
1511,1024,1,8,2,16,2,0,32768,7.970889,4293.772,127
1512,1024,1,8,2,16,4,0,1048576,8.187625,2503.858,53
1513,1024,1,8,2,16,4,0,524288,8.335128,2568.23,53
1514,1024,1,8,2,16,4,0,262144,8.327874,2642.178,53
1515,1024,1,8,2,16,4,0,131072,8.550337,2883.706,63
1516,1024,1,8,2,16,4,0,65536,8.73653,3405.332,85
1517,1024,1,8,2,16,4,0,32768,8.944485,4275.95,117
1518,1024,1,8,2,16,8,0,1048576,7.680635,2539.768,56
1519,1024,1,8,2,16,8,0,524288,7.819951,2621.962,56
1520,1024,1,8,2,16,8,0,262144,7.817667,2696.442,56
1521,1024,1,8,2,16,8,0,131072,7.915873,2915.36,66
1522,1024,1,8,2,16,8,0,65536,8.171666,3445.764,88
1523,1024,1,8,2,16,8,0,32768,8.390917,4319.574,120
1524,1024,1,8,2,16,16,0,1048576,7.454948,2545.354,57
1525,1024,1,8,2,16,16,0,524288,7.59017,2627.548,57
1526,1024,1,8,2,16,16,0,262144,7.587953,2702.56,57
1527,1024,1,8,2,16,16,0,131072,7.683274,2920.414,67
1528,1024,1,8,2,16,16,0,65536,7.93155,3449.754,89
1529,1024,1,8,2,16,16,0,32768,8.144359,4319.84,121
1530,1024,1,8,4,1,4,0,1048576,5.741247,2409.428,62
1531,1024,1,8,4,1,4,0,524288,5.83801,2473.534,62
1532,1024,1,8,4,1,4,0,262144,5.826721,2545.62,62
1533,1024,1,8,4,1,4,0,131072,5.95735,2765.602,72
1534,1024,1,8,4,1,4,0,65536,6.192806,3264.352,94
1535,1024,1,8,4,1,4,0,32768,6.187968,4139.758,126
1536,1024,1,8,4,1,8,0,1048576,6.231291,2354.898,53
1537,1024,1,8,4,1,8,0,524288,6.336106,2418.206,53
1538,1024,1,8,4,1,8,0,262144,6.323878,2492.42,53
1539,1024,1,8,4,1,8,0,131072,6.378033,2717.456,63
1540,1024,1,8,4,1,8,0,65536,6.605133,3205.034,85
1541,1024,1,8,4,1,8,0,32768,6.785067,4074.056,117
1542,1024,1,8,4,1,16,0,1048576,5.64923,2400.118,56
1543,1024,1,8,4,1,16,0,524288,5.751699,2479.918,56
1544,1024,1,8,4,1,16,0,262144,5.75002,2555.728,56
1545,1024,1,8,4,1,16,0,131072,5.902883,2770.39,66
1546,1024,1,8,4,1,16,0,65536,6.052387,3248.924,88
1547,1024,1,8,4,1,16,0,32768,6.159895,4101.454,120
1548,1024,1,8,4,2,4,0,1048576,5.7415,2424.59,62
1549,1024,1,8,4,2,4,0,524288,5.838294,2487.1,62
1550,1024,1,8,4,2,4,0,262144,5.841521,2562.378,62
1551,1024,1,8,4,2,4,0,131072,5.962514,2780.764,72
1552,1024,1,8,4,2,4,0,65536,6.072213,3294.676,94
1553,1024,1,8,4,2,4,0,32768,6.181913,4186.84,126
1554,1024,1,8,4,2,8,0,1048576,6.173748,2376.178,53
1555,1024,1,8,4,2,8,0,524288,6.280342,2438.954,53
1556,1024,1,8,4,2,8,0,262144,6.290827,2513.168,53
1557,1024,1,8,4,2,8,0,131072,6.404411,2739.002,63
1558,1024,1,8,4,2,8,0,65536,6.671771,3272.598,85
1559,1024,1,8,4,2,8,0,32768,6.656044,4137.364,117
1560,1024,1,8,4,2,16,0,1048576,5.650994,2418.206,56
1561,1024,1,8,4,2,16,0,524288,5.753495,2498.006,56
1562,1024,1,8,4,2,16,0,262144,5.751814,2575.146,56
1563,1024,1,8,4,2,16,0,131072,5.886242,2789.808,66
1564,1024,1,8,4,2,16,0,65536,6.183662,3321.01,88
1565,1024,1,8,4,2,16,0,32768,6.166859,4194.554,120
1566,1024,1,8,4,4,4,0,1048576,5.506687,2457.84,62
1567,1024,1,8,4,4,4,0,524288,5.606691,2521.414,62
1568,1024,1,8,4,4,4,0,262144,5.606691,2596.958,62
1569,1024,1,8,4,4,4,0,131072,5.761536,2818.27,72
1570,1024,1,8,4,4,4,0,65536,5.948641,3326.33,94
1571,1024,1,8,4,4,4,0,32768,6.135746,4242.168,126
1572,1024,1,8,4,4,8,0,1048576,6.062748,2438.156,53
1573,1024,1,8,4,4,8,0,524288,6.174569,2500.932,53
1574,1024,1,8,4,4,8,0,262144,6.190293,2577.54,53
1575,1024,1,8,4,4,8,0,131072,6.344046,2798.586,63
1576,1024,1,8,4,4,8,0,65536,6.635827,3325.798,85
1577,1024,1,8,4,4,8,0,32768,6.728428,4225.676,117
1578,1024,1,8,4,4,16,0,1048576,5.650112,2476.194,56
1579,1024,1,8,4,4,16,0,524288,5.752597,2558.92,56
1580,1024,1,8,4,4,16,0,262144,5.750917,2631.272,56
1581,1024,1,8,4,4,16,0,131072,5.82316,2852.584,66
1582,1024,1,8,4,4,16,0,65536,6.217979,3365.166,88
1583,1024,1,8,4,4,16,0,32768,6.397748,4275.418,120
1584,1024,1,8,4,8,4,0,1048576,5.461079,2433.368,62
1585,1024,1,8,4,8,4,0,524288,5.559463,2502.528,62
1586,1024,1,8,4,8,4,0,262144,5.553011,2585.52,62
1587,1024,1,8,4,8,4,0,131072,5.625589,2804.97,72
1588,1024,1,8,4,8,4,0,65536,5.919126,3342.29,94
1589,1024,1,8,4,8,4,0,32768,6.043315,4252.808,126
1590,1024,1,8,4,8,8,0,1048576,5.959217,2551.206,53
1591,1024,1,8,4,8,8,0,524288,6.126935,2631.006,53
1592,1024,1,8,4,8,8,0,262144,6.048317,2706.816,53
1593,1024,1,8,4,8,8,0,131072,6.191576,2922.276,63
1594,1024,1,8,4,8,8,0,65536,6.338329,3485.398,85
1595,1024,1,8,4,8,8,0,32768,6.689488,4410.812,117
1596,1024,1,8,4,8,16,0,1048576,5.649671,2667.98,56
1597,1024,1,8,4,8,16,0,524288,5.730309,2672.236,56
1598,1024,1,8,4,8,16,0,262144,5.758868,2774.912,56
1599,1024,1,8,4,8,16,0,131072,5.822706,3011.386,66
1600,1024,1,8,4,8,16,0,65536,6.052859,3525.564,88
1601,1024,1,8,4,8,16,0,32768,6.314931,4347.238,120
1602,1024,1,8,4,16,4,0,1048576,5.460858,2441.88,62
1603,1024,1,8,4,16,4,0,524288,5.559237,2504.124,62
1604,1024,1,8,4,16,4,0,262144,5.557624,2580.466,62
1605,1024,1,8,4,16,4,0,131072,5.702774,2809.492,72
1606,1024,1,8,4,16,4,0,65536,5.970495,3353.728,94
1607,1024,1,8,4,16,4,0,32768,6.067261,4256.266,126
1608,1024,1,8,4,16,8,0,1048576,5.915319,2542.162,53
1609,1024,1,8,4,16,8,0,524288,6.097006,2634.464,53
1610,1024,1,8,4,16,8,0,262144,6.020138,2699.9,53
1611,1024,1,8,4,16,8,0,131072,6.177368,2933.182,63
1612,1024,1,8,4,16,8,0,65536,6.338091,3489.92,85
1613,1024,1,8,4,16,8,0,32768,6.610622,4405.758,117
1614,1024,1,8,4,16,16,0,1048576,5.649451,2588.18,56
1615,1024,1,8,4,16,16,0,524288,5.751924,2680.748,56
1616,1024,1,8,4,16,16,0,262144,5.750244,2794.33,56
1617,1024,1,8,4,16,16,0,131072,5.903113,2970.688,66
1618,1024,1,8,4,16,16,0,65536,6.181974,3536.736,88
1619,1024,1,8,4,16,16,0,32768,6.484353,4350.696,120
1620,1024,1,8,8,1,8,0,1048576,4.793683,2410.758,60
1621,1024,1,8,8,1,8,0,524288,4.872995,2474.066,60
1622,1024,1,8,8,1,8,0,262144,4.872995,2552.004,60
1623,1024,1,8,8,1,8,0,131072,4.973815,2776.508,70
1624,1024,1,8,8,1,8,0,65536,4.973815,3270.204,92
1625,1024,1,8,8,1,8,0,32768,5.129751,4137.63,124
1626,1024,1,8,8,1,16,0,1048576,5.073923,2359.686,52
1627,1024,1,8,8,1,16,0,524288,5.157195,2419.27,52
1628,1024,1,8,8,1,16,0,262144,5.150138,2494.814,52
1629,1024,1,8,8,1,16,0,131072,5.193891,2719.052,62
1630,1024,1,8,8,1,16,0,65536,5.401364,3209.556,84
1631,1024,1,8,8,1,16,0,32768,5.38725,4061.554,116
1632,1024,1,8,8,2,8,0,1048576,4.821103,2446.402,60
1633,1024,1,8,8,2,8,0,524288,4.903136,2510.508,60
1634,1024,1,8,8,2,8,0,262144,4.904481,2587.382,60
1635,1024,1,8,8,2,8,0,131072,5.026858,2807.896,70
1636,1024,1,8,8,2,8,0,65536,5.170751,3334.842,92
1637,1024,1,8,8,2,8,0,32768,5.256818,4269.832,124
1638,1024,1,8,8,2,16,0,1048576,4.989681,2397.99,52
1639,1024,1,8,8,2,16,0,524288,5.080043,2461.298,52
1640,1024,1,8,8,2,16,0,262144,5.088515,2542.162,52
1641,1024,1,8,8,2,16,0,131072,5.198644,2763.74,62
1642,1024,1,8,8,2,16,0,65536,5.370896,3299.198,84
1643,1024,1,8,8,2,16,0,32768,5.466906,4198.544,116
1644,1024,1,8,8,4,8,0,1048576,4.635962,2503.326,60
1645,1024,1,8,8,4,8,0,524288,4.720668,2566.9,60
1646,1024,1,8,8,4,8,0,262144,4.731424,2651.754,60
1647,1024,1,8,8,4,8,0,131072,4.852433,2869.608,70
1648,1024,1,8,8,4,8,0,65536,4.988231,3401.608,92
1649,1024,1,8,8,4,8,0,32768,5.148231,4331.012,124
1650,1024,1,8,8,4,16,0,1048576,4.936524,2494.282,52
1651,1024,1,8,8,4,16,0,524288,5.019811,2559.452,52
1652,1024,1,8,8,4,16,0,262144,5.022634,2641.646,52
1653,1024,1,8,8,4,16,0,131072,5.12992,2867.746,62
1654,1024,1,8,8,4,16,0,65536,5.282377,3387.776,84
1655,1024,1,8,8,4,16,0,32768,5.432012,4296.166,116
1656,1024,1,8,8,8,8,0,1048576,4.634166,2539.768,60
1657,1024,1,8,8,8,8,0,524288,4.697353,2607.598,60
1658,1024,1,8,8,8,8,0,262144,4.709452,2679.95,60
1659,1024,1,8,8,8,8,0,131072,4.821038,2944.886,70
1660,1024,1,8,8,8,8,0,65536,4.975645,3471.034,92
1662,1024,1,8,8,8,16,0,1048576,4.917716,2687.398,52
1663,1024,1,8,8,8,16,0,524288,5.071571,2766.134,52
1664,1024,1,8,8,8,16,0,262144,4.996761,2865.618,52
1665,1024,1,8,8,8,16,0,131072,5.099801,3039.05,62
1666,1024,1,8,8,8,16,0,65536,5.262126,3633.56,84
1668,1024,1,8,8,16,8,0,1048576,4.551935,2527.798,60
1669,1024,1,8,8,16,8,0,524288,4.627218,2592.968,60
1670,1024,1,8,8,16,8,0,262144,4.648728,2685.536,60
1671,1024,1,8,8,16,8,0,131072,4.775096,2921.212,70
1672,1024,1,8,8,16,8,0,65536,4.904152,3467.842,92
1674,1024,1,8,8,16,16,0,1048576,4.829978,2729.16,52
1675,1024,1,8,8,16,16,0,524288,5.048752,2766.134,52
1677,1024,1,8,8,16,16,0,131072,4.993706,3053.414,62
1678,1024,1,8,8,16,16,0,65536,5.136262,3658.564,84
1680,1024,2,1,1,1,1,0,1048576,11.499462,2420.068,65
1681,1024,2,1,1,1,1,0,524288,11.702564,2480.45,65
1682,1024,2,1,1,1,1,0,262144,11.721907,2556.526,65
1683,1024,2,1,1,1,1,0,131072,11.837966,2767.198,75
1684,1024,2,1,1,1,1,0,65536,12.444049,3292.814,97
1685,1024,2,1,1,1,1,0,32768,12.456944,4121.138,129
1686,1024,2,1,1,1,2,0,1048576,13.301659,2352.504,54
1687,1024,2,1,1,1,2,0,524288,13.534823,2412.886,54
1688,1024,2,1,1,1,2,0,262144,13.576191,2490.824,54
1689,1024,2,1,1,1,2,0,131072,13.745424,2702.294,64
1690,1024,2,1,1,1,2,0,65536,14.286967,3222.058,86
1691,1024,2,1,1,1,2,0,32768,14.636714,4055.702,118
1692,1024,2,1,1,1,4,0,1048576,11.744546,2399.32,57
1693,1024,2,1,1,1,4,0,524288,11.957575,2479.12,57
1694,1024,2,1,1,1,4,0,262144,11.954083,2554.664,57
1695,1024,2,1,1,1,4,0,131072,12.27188,2760.016,67
1696,1024,2,1,1,1,4,0,65536,12.736354,3294.144,89
1697,1024,2,1,1,1,4,0,32768,12.767784,4080.174,121
1698,1024,2,1,1,1,8,0,1048576,11.293171,2404.108,58
1699,1024,2,1,1,1,8,0,524288,11.498013,2483.908,58
1700,1024,2,1,1,1,8,0,262144,11.494655,2560.516,58
1701,1024,2,1,1,1,8,0,131072,11.800239,2765.336,68
1702,1024,2,1,1,1,8,0,65536,12.199849,3267.81,90
1703,1024,2,1,1,1,8,0,32768,12.535655,4090.548,122
1704,1024,2,1,1,1,16,0,1048576,11.067484,2408.63,59
1705,1024,2,1,1,1,16,0,524288,11.268233,2488.43,59
1706,1024,2,1,1,1,16,0,262144,11.264942,2565.038,59
1707,1024,2,1,1,1,16,0,131072,11.564419,2769.858,69
1708,1024,2,1,1,1,16,0,65536,11.956042,3273.662,91
1709,1024,2,1,1,1,16,0,32768,12.239065,4092.41,123
1710,1024,2,1,1,2,1,0,1048576,11.092355,2426.186,65
1711,1024,2,1,1,2,1,0,524288,11.292217,2487.366,65
1712,1024,2,1,1,2,1,0,262144,11.298665,2563.442,65
1713,1024,2,1,1,2,1,0,131072,11.379254,2775.178,75
1714,1024,2,1,1,2,1,0,65536,11.982065,3303.454,97
1715,1024,2,1,1,2,1,0,32768,12.0143,4126.724,129
1716,1024,2,1,1,2,2,0,1048576,12.879561,2364.208,54
1717,1024,2,1,1,2,2,0,524288,13.116469,2424.856,54
1718,1024,2,1,1,2,2,0,262144,13.157834,2501.996,54
1719,1024,2,1,1,2,2,0,131072,13.319534,2713.998,64
1720,1024,2,1,1,2,2,0,65536,13.8648,3234.56,86
1721,1024,2,1,1,2,2,0,32768,13.970093,4059.958,118
1722,1024,2,1,1,2,4,0,1048576,11.743664,2408.098,57
1723,1024,2,1,1,2,4,0,524288,11.956677,2488.696,57
1724,1024,2,1,1,2,4,0,262144,11.953185,2565.304,57
1725,1024,2,1,1,2,4,0,131072,12.270959,2767.73,66
1726,1024,2,1,1,2,4,0,65536,12.686509,3268.076,89
1727,1024,2,1,1,2,4,0,32768,12.749366,4088.952,121
1728,1024,2,1,1,2,8,0,1048576,11.29229,2413.418,58
1729,1024,2,1,1,2,8,0,524288,11.497116,2493.75,58
1730,1024,2,1,1,2,8,0,262144,11.493758,2570.358,58
1731,1024,2,1,1,2,8,0,131072,11.638143,2769.06,67
1732,1024,2,1,1,2,8,0,65536,12.198896,3270.736,90
1733,1024,2,1,1,2,8,0,32768,12.23919,4114.222,122
1734,1024,2,1,1,2,16,0,1048576,11.066603,2417.94,59
1735,1024,2,1,1,2,16,0,524288,11.267335,2498.272,59
1736,1024,2,1,1,2,16,0,262144,11.264044,2574.88,59
1737,1024,2,1,1,2,16,0,131072,11.563497,2777.838,68
1738,1024,2,1,1,2,16,0,65536,11.95509,3313.296,91
1739,1024,2,1,1,2,16,0,32768,12.432241,4101.72,123
1740,1024,2,1,1,4,1,0,1048576,10.844001,2436.028,65
1741,1024,2,1,1,4,1,0,524288,11.040696,2516.892,65
1742,1024,2,1,1,4,1,0,262144,11.053594,2592.702,65
1743,1024,2,1,1,4,1,0,131072,11.321227,2798.054,75
1744,1024,2,1,1,4,1,0,65536,11.714617,3315.956,97
1745,1024,2,1,1,4,1,0,32768,12.033842,4125.66,129
1746,1024,2,1,1,4,2,0,1048576,12.649498,2379.902,55
1747,1024,2,1,1,4,2,0,524288,12.878942,2460.766,55
1748,1024,2,1,1,4,2,0,262144,12.893987,2535.246,55
1749,1024,2,1,1,4,2,0,131072,13.036919,2741.396,65
1750,1024,2,1,1,4,2,0,65536,13.563512,3255.308,87
1751,1024,2,1,1,4,2,0,32768,14.210468,4073.79,119
1752,1024,2,1,1,4,4,0,1048576,11.827087,2403.044,58
1753,1024,2,1,1,4,4,0,524288,12.040156,2466.618,58
1754,1024,2,1,1,4,4,0,262144,12.036663,2541.63,58
1755,1024,2,1,1,4,4,0,131072,12.183367,2761.878,68
1756,1024,2,1,1,4,4,0,65536,12.668885,3301.06,90
1757,1024,2,1,1,4,4,0,32768,13.26967,4105.444,122
1758,1024,2,1,1,4,8,0,1048576,11.372626,2405.704,59
1759,1024,2,1,1,4,8,0,524288,11.577508,2467.416,59
1760,1024,2,1,1,4,8,0,262144,11.574149,2541.896,59
1761,1024,2,1,1,4,8,0,131072,11.715215,2752.568,69
1762,1024,2,1,1,4,8,0,65536,12.447416,3277.12,91
1763,1024,2,1,1,4,8,0,32768,12.366807,4097.996,123
1764,1024,2,1,1,4,16,0,1048576,11.145395,2412.088,60
1765,1024,2,1,1,4,16,0,524288,11.346184,2474.332,60
1766,1024,2,1,1,4,16,0,262144,11.342892,2548.28,60
1767,1024,2,1,1,4,16,0,131072,11.48114,2758.154,70
1768,1024,2,1,1,4,16,0,65536,11.978173,3289.09,92
1769,1024,2,1,1,4,16,0,32768,12.146045,4120.34,124
1770,1024,2,1,1,8,1,0,1048576,10.843781,2434.964,65
1771,1024,2,1,1,8,1,0,524288,11.040471,2515.828,65
1772,1024,2,1,1,8,1,0,262144,11.053369,2591.904,65
1773,1024,2,1,1,8,1,0,131072,11.330671,2799.118,75
1774,1024,2,1,1,8,1,0,65536,11.627319,3319.414,97
1775,1024,2,1,1,8,1,0,32768,12.036822,4121.404,129
1776,1024,2,1,1,8,2,0,1048576,12.649278,2378.838,55
1777,1024,2,1,1,8,2,0,524288,12.878717,2459.702,55
1778,1024,2,1,1,8,2,0,262144,12.874956,2535.778,55
1779,1024,2,1,1,8,2,0,131072,13.014124,2740.332,65
1780,1024,2,1,1,8,2,0,65536,13.563275,3256.904,87
1781,1024,2,1,1,8,2,0,32768,13.860419,4069.534,119
1782,1024,2,1,1,8,4,0,1048576,11.746529,2420.6,58
1783,1024,2,1,1,8,4,0,524288,11.959594,2501.464,58
1784,1024,2,1,1,8,4,0,262144,11.973566,2577.54,58
1785,1024,2,1,1,8,4,0,131072,12.106295,2784.222,68
1786,1024,2,1,1,8,4,0,65536,12.738505,3296.006,90
1787,1024,2,1,1,8,4,0,32768,12.776926,4130.182,122
1788,1024,2,1,1,8,8,0,1048576,11.372404,2411.024,59
1789,1024,2,1,1,8,8,0,524288,11.577282,2471.938,59
1790,1024,2,1,1,8,8,0,262144,11.573923,2554.664,59
1791,1024,2,1,1,8,8,0,131072,11.714987,2773.05,69
1792,1024,2,1,1,8,8,0,65536,12.269165,3318.084,91
1793,1024,2,1,1,8,8,0,32768,12.474043,4094.538,123
1794,1024,2,1,1,8,16,0,1048576,11.069468,2427.782,60
1795,1024,2,1,1,8,16,0,524288,11.270252,2508.646,60
1796,1024,2,1,1,8,16,0,262144,11.283418,2585.254,60
1797,1024,2,1,1,8,16,0,131072,11.556617,2791.138,70
1798,1024,2,1,1,8,16,0,65536,11.958185,3314.892,92
1799,1024,2,1,1,8,16,0,32768,12.017433,4129.118,124
1800,1024,2,1,1,16,1,0,1048576,10.843671,2433.9,65
1801,1024,2,1,1,16,1,0,524288,11.040359,2514.764,65
1802,1024,2,1,1,16,1,0,262144,11.053257,2591.106,65
1803,1024,2,1,1,16,1,0,131072,11.330556,2798.32,75
1804,1024,2,1,1,16,1,0,65536,11.627201,3314.626,97
1805,1024,2,1,1,16,1,0,32768,12.181798,4119.276,129
1806,1024,2,1,1,16,2,0,1048576,12.649167,2377.774,55
1807,1024,2,1,1,16,2,0,524288,12.878605,2458.638,55
1808,1024,2,1,1,16,2,0,262144,12.89365,2534.448,55
1809,1024,2,1,1,16,2,0,131072,13.014011,2737.938,65
1810,1024,2,1,1,16,2,0,65536,13.664712,3251.318,87
1811,1024,2,1,1,16,2,0,32768,13.988181,4076.45,119
1812,1024,2,1,1,16,4,0,1048576,11.746419,2417.674,58
1813,1024,2,1,1,16,4,0,524288,11.959482,2498.538,58
1814,1024,2,1,1,16,4,0,262144,11.973454,2574.614,58
1815,1024,2,1,1,16,4,0,131072,12.106181,2781.03,68
1816,1024,2,1,1,16,4,0,65536,12.738385,3290.154,90
1817,1024,2,1,1,16,4,0,32768,12.7314,4129.118,122
1818,1024,2,1,1,16,8,0,1048576,11.295045,2421.93,59
1819,1024,2,1,1,16,8,0,524288,11.499921,2502.262,59
1820,1024,2,1,1,16,8,0,262144,11.496562,2578.87,59
1821,1024,2,1,1,16,8,0,131072,11.802197,2784.754,69
1822,1024,2,1,1,16,8,0,65536,12.248893,3301.326,91
1823,1024,2,1,1,16,8,0,32768,12.262328,4119.01,123
1824,1024,2,1,1,16,16,0,1048576,11.145062,2417.408,60
1825,1024,2,1,1,16,16,0,524288,11.345845,2478.056,60
1826,1024,2,1,1,16,16,0,262144,11.342553,2561.314,60
1827,1024,2,1,1,16,16,0,131072,11.480797,2782.094,70
1828,1024,2,1,1,16,16,0,65536,12.023896,3322.872,92
1829,1024,2,1,1,16,16,0,32768,12.366214,4126.192,124
1830,1024,2,1,2,1,2,0,1048576,7.613522,2411.024,63
1831,1024,2,1,2,1,2,0,524288,7.744679,2473.8,63
1832,1024,2,1,2,1,2,0,262144,7.742528,2547.482,63
1833,1024,2,1,2,1,2,0,131072,7.925287,2768.262,73
1834,1024,2,1,2,1,2,0,65536,8.17685,3280.844,95
1835,1024,2,1,2,1,2,0,32768,8.262854,4196.682,127
1836,1024,2,1,2,1,4,0,1048576,8.60033,2361.814,54
1837,1024,2,1,2,1,4,0,524288,8.745443,2424.324,54
1838,1024,2,1,2,1,4,0,262144,8.730931,2498.006,54
1839,1024,2,1,2,1,4,0,131072,8.81558,2727.298,64
1840,1024,2,1,2,1,4,0,65536,9.018738,3235.89,86
1841,1024,2,1,2,1,4,0,32768,9.337985,4158.644,118
1842,1024,2,1,2,1,8,0,1048576,7.682178,2407.832,57
1843,1024,2,1,2,1,8,0,524288,7.821521,2487.366,57
1844,1024,2,1,2,1,8,0,262144,7.819237,2563.708,57
1845,1024,2,1,2,1,8,0,131072,7.917463,2778.37,67
1846,1024,2,1,2,1,8,0,65536,8.157317,3276.056,89
1847,1024,2,1,2,1,8,0,32768,8.330925,4179.392,121
1848,1024,2,1,2,1,16,0,1048576,7.456491,2412.62,58
1849,1024,2,1,2,1,16,0,524288,7.591741,2492.154,58
1850,1024,2,1,2,1,16,0,262144,7.589523,2568.762,58
1851,1024,2,1,2,1,16,0,131072,7.684864,2784.222,68
1852,1024,2,1,2,1,16,0,65536,7.917671,3278.45,90
1853,1024,2,1,2,1,16,0,32768,8.037401,4196.948,122
1854,1024,2,1,2,2,2,0,1048576,7.369662,2421.398,63
1855,1024,2,1,2,2,2,0,524288,7.502952,2482.844,63
1856,1024,2,1,2,2,2,0,262144,7.509401,2557.324,63
1857,1024,2,1,2,2,2,0,131072,7.66849,2779.168,73
1858,1024,2,1,2,2,2,0,65536,7.722236,3295.208,95
1859,1024,2,1,2,2,2,0,32768,7.997416,4206.258,127
1860,1024,2,1,2,2,4,0,1048576,8.328551,2367.666,54
1861,1024,2,1,2,2,4,0,524288,8.471229,2430.442,54
1862,1024,2,1,2,2,4,0,262144,8.478484,2505.188,54
1863,1024,2,1,2,2,4,0,131072,8.541359,2732.086,64
1864,1024,2,1,2,2,4,0,65536,8.94763,3243.87,86
1865,1024,2,1,2,2,4,0,32768,8.94763,4169.018,118
1866,1024,2,1,2,2,8,0,1048576,7.681296,2410.492,57
1867,1024,2,1,2,2,8,0,524288,7.820624,2490.026,57
1868,1024,2,1,2,2,8,0,262144,7.81834,2567.698,57
1869,1024,2,1,2,2,8,0,131072,7.916554,2782.094,67
1870,1024,2,1,2,2,8,0,65536,8.156381,3280.578,89
1871,1024,2,1,2,2,8,0,32768,8.247743,4193.756,121
1872,1024,2,1,2,2,16,0,1048576,7.455609,2416.078,58
1873,1024,2,1,2,2,16,0,524288,7.590843,2495.612,58
1874,1024,2,1,2,2,16,0,262144,7.588626,2572.752,58
1875,1024,2,1,2,2,16,0,131072,7.683955,2788.212,68
1876,1024,2,1,2,2,16,0,65536,7.916735,3285.898,90
1877,1024,2,1,2,2,16,0,32768,8.085223,4190.032,122
1878,1024,2,1,2,4,2,0,1048576,7.233007,2434.698,64
1879,1024,2,1,2,4,2,0,524288,7.364204,2515.03,64
1880,1024,2,1,2,4,2,0,262144,7.362053,2590.308,64
1881,1024,2,1,2,4,2,0,131072,7.540566,2807.098,74
1882,1024,2,1,2,4,2,0,65536,7.753491,3315.956,96
1883,1024,2,1,2,4,2,0,32768,7.766396,4237.912,128
1884,1024,2,1,2,4,4,0,1048576,8.135756,2375.646,54
1885,1024,2,1,2,4,4,0,524288,8.283327,2455.712,54
1886,1024,2,1,2,4,4,0,262144,8.293004,2529.926,54
1887,1024,2,1,2,4,4,0,131072,8.384933,2752.302,64
1888,1024,2,1,2,4,4,0,65536,8.624433,3244.668,86
1889,1024,2,1,2,4,4,0,32768,8.735716,4137.896,118
1890,1024,2,1,2,4,8,0,1048576,7.736936,2399.586,57
1891,1024,2,1,2,4,8,0,524288,7.87632,2463.958,57
1892,1024,2,1,2,4,8,0,262144,7.869465,2541.896,57
1893,1024,2,1,2,4,8,0,131072,8.079683,2766.932,67
1894,1024,2,1,2,4,8,0,65536,8.3813,3301.592,89
1895,1024,2,1,2,4,8,0,32768,8.534393,4157.314,121
1896,1024,2,1,2,4,16,0,1048576,7.509705,2402.512,58
1897,1024,2,1,2,4,16,0,524288,7.644996,2464.756,58
1898,1024,2,1,2,4,16,0,262144,7.642778,2537.906,58
1899,1024,2,1,2,4,16,0,131072,7.735928,2761.346,68
1900,1024,2,1,2,4,16,0,65536,8.135145,3277.918,90
1901,1024,2,1,2,4,16,0,32768,8.341406,4178.328,122
1902,1024,2,1,2,8,2,0,1048576,7.232787,2433.634,64
1903,1024,2,1,2,8,2,0,524288,7.363979,2513.966,64
1904,1024,2,1,2,8,2,0,262144,7.372582,2589.51,64
1905,1024,2,1,2,8,2,0,131072,7.540336,2806.3,74
1906,1024,2,1,2,8,2,0,65536,7.753255,3314.626,96
1907,1024,2,1,2,8,2,0,32768,7.817776,4203.598,128
1908,1024,2,1,2,8,4,0,1048576,8.135535,2372.454,54
