n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0461,4,1,1,1,128,0.537433,2240,13459,4542,36,4
0462,4,1,1,2,2,0.625717,1712,8854,7317,48,4
0463,4,1,1,2,4,0.621738,2004,9773,7321,60,4
0464,4,1,1,2,8,0.665221,2067,10392,7320,60,4
0465,4,1,1,2,16,0.631875,2179,11078,7312,60,4
0466,4,1,1,2,32,0.612454,2361,12843,7334,60,4
0467,4,1,1,2,64,0.622022,2925,16191,7384,60,4
0468,4,1,1,2,128,0.639832,3699,22632,7514,60,4
0469,4,1,1,3,2,0.644766,2238,11008,9082,66,4
0470,4,1,1,3,4,0.730773,2411,12260,9092,84,4
0471,4,1,1,3,8,0.656511,2595,12997,9093,84,4
0472,4,1,1,3,16,0.643724,2817,14069,9085,84,4
0473,4,1,1,3,32,0.659164,3089,16867,9126,84,4
0474,4,1,1,3,64,0.625538,3712,21434,9217,84,4
0475,4,1,1,3,128,0.657837,5106,31371,9413,84,4
0476,4,1,1,4,2,0.673019,2561,12971,10875,84,4
0477,4,1,1,4,4,0.753497,2833,14302,10856,111,4
0478,4,1,1,4,8,0.722595,2886,15080,10853,111,4
0479,4,1,1,4,16,0.668279,3114,16412,10863,111,4
0480,4,1,1,4,32,0.674062,3780,20369,10904,111,4
0481,4,1,1,4,64,0.656620,4580,26396,10997,111,4
0482,4,1,1,4,128,0.741648,6320,39445,11228,111,4
0483,4,1,1,5,2,0.724253,2946,14545,12637,102,4
0484,4,1,1,5,4,0.736945,3251,16907,12624,132,4
0485,4,1,1,5,8,0.660418,3460,17842,12625,132,4
0486,4,1,1,5,16,0.736092,3816,19639,12638,132,4
0487,4,1,1,5,32,0.624618,4457,24482,12701,132,4
0488,4,1,1,5,64,0.700954,5497,32069,12839,132,4
0489,4,1,1,5,128,0.721507,7895,48419,13174,132,4
0490,4,1,2,1,2,0.540134,1522,7213,5214,30,4
0491,4,1,2,1,4,0.482395,1576,8118,5255,42,4
0492,4,1,2,1,8,0.501748,1645,8504,5220,42,4
0493,4,1,2,1,16,0.483282,1850,9267,5239,42,4
0494,4,1,2,1,32,0.460380,2047,11052,5251,42,4
0495,4,1,2,1,64,0.444171,2564,14231,5341,42,4
0496,4,1,2,1,128,0.487314,3364,20801,5493,42,4
0497,4,1,2,2,2,0.583522,2047,9794,8890,48,4
0498,4,1,2,2,4,0.561410,2345,11718,8875,72,4
0499,4,1,2,2,8,0.568984,2477,12631,8876,72,4
0500,4,1,2,2,16,0.552879,2670,14051,8906,72,4
0501,4,1,2,2,32,0.599453,3311,17871,8941,72,4
0502,4,1,2,2,64,0.583696,4106,24264,9021,72,4
0503,4,1,2,2,128,0.622000,5877,37053,9304,72,4
0504,4,1,2,3,2,0.634355,2637,12789,11435,66,4
0505,4,1,2,3,4,0.659423,3096,15206,11452,102,4
0506,4,1,2,3,8,0.575689,3244,16351,11424,102,4
0507,4,1,2,3,16,0.613465,3544,18583,11443,102,4
0508,4,1,2,3,32,0.562372,4423,24265,11521,102,4
0509,4,1,2,3,64,0.576212,5675,33455,11682,102,4
0510,4,1,2,3,128,0.666473,8460,53137,12085,102,4
0511,4,1,2,4,2,0.650871,3100,15320,13976,84,4
0512,4,1,2,4,4,0.671507,3451,18063,13980,138,4
0513,4,1,2,4,8,0.646169,3793,19549,13931,138,4
0514,4,1,2,4,16,0.596798,4329,22798,13987,138,4
0515,4,1,2,4,32,0.625794,5575,29977,14061,138,4
0516,4,1,2,4,64,0.609250,7235,43003,14227,138,4
0517,4,1,2,4,128,0.668808,10657,68681,14612,138,4
0518,4,1,2,5,2,0.626622,3519,16742,16543,102,4
0519,4,1,2,5,4,0.624185,4378,21871,16588,162,4
0520,4,1,2,5,8,0.621400,4631,23957,16584,162,4
0521,4,1,2,5,16,0.596596,5223,27501,16596,162,4
0522,4,1,2,5,32,0.636195,6560,36942,16682,162,4
0523,4,1,2,5,64,0.644985,8794,52818,16940,162,4
0525,4,1,3,1,2,0.661538,1751,9022,7181,30,4
0526,4,1,3,1,4,0.482024,1809,9103,5997,48,4
0527,4,1,3,1,8,0.501181,1885,9660,5997,48,4
0528,4,1,3,1,16,0.512439,2086,10873,5998,48,4
0529,4,1,3,1,32,0.536973,2533,13633,6035,48,4
0530,4,1,3,1,64,0.491602,3324,18463,6123,48,4
0531,4,1,3,1,128,0.554365,4580,28324,6324,48,4
0532,4,1,3,2,2,0.791817,2722,13610,12748,48,4
0533,4,1,3,2,4,0.610513,2772,13791,10383,84,4
0534,4,1,3,2,8,0.655187,3033,15208,10389,84,4
0535,4,1,3,2,16,0.598576,3388,17378,10384,84,4
0536,4,1,3,2,32,0.589352,4179,22983,10450,84,4
0537,4,1,3,2,64,0.673997,5468,32278,10642,84,4
0538,4,1,3,2,128,0.749418,8184,51878,11026,84,4
0539,4,1,3,3,2,0.804027,3634,18631,17268,66,4
0540,4,1,3,3,4,0.635292,3756,18531,13696,120,4
0541,4,1,3,3,8,0.713687,4090,20262,13721,120,4
0542,4,1,3,3,16,0.684119,4488,23586,13694,120,4
0543,4,1,3,3,32,0.645239,5834,31949,13814,120,4
0544,4,1,3,3,64,0.678785,7725,46209,14084,120,4
0545,4,1,3,3,128,0.750669,11825,75285,14661,120,4
0546,4,1,3,4,2,0.859308,4453,22972,21684,84,4
0547,4,1,3,4,4,0.731774,4418,22340,16807,165,4
0548,4,1,3,4,8,0.698549,4617,24641,16809,165,4
0549,4,1,3,4,16,0.680294,5505,29218,16792,165,4
0550,4,1,3,4,32,0.748204,7350,40333,16919,165,4
0551,4,1,3,4,64,0.704482,10010,58929,17240,165,4
0553,4,1,3,5,2,0.826510,5443,27680,25923,102,4
0554,4,1,3,5,4,0.693354,5335,27504,20329,192,4
0555,4,1,3,5,8,0.763422,5809,30412,20330,192,4
0556,4,1,3,5,16,0.697875,6855,35786,20325,192,4
0557,4,1,3,5,32,0.754200,8978,49841,20500,192,4
0558,4,1,3,5,64,0.717584,12320,72993,20957,192,4
0560,4,1,4,1,2,0.446945,1691,8034,6216,30,4
0561,4,1,4,1,4,0.475117,1901,9997,6219,54,4
0562,4,1,4,1,8,0.504784,2143,10773,6183,54,4
0563,4,1,4,1,16,0.481768,2277,12391,6223,54,4
0564,4,1,4,1,32,0.445600,2820,16004,6267,54,4
0565,4,1,4,1,64,0.539756,3800,22154,6383,54,4
0566,4,1,4,1,128,0.491034,5507,35209,6630,54,4
0567,4,1,4,2,2,0.533091,2433,11484,10795,48,4
0568,4,1,4,2,4,0.537797,2987,15632,10798,96,4
0569,4,1,4,2,8,0.556135,3408,17307,10803,96,4
0570,4,1,4,2,16,0.542666,3796,20345,10795,96,4
0571,4,1,4,2,32,0.615611,4925,27290,10896,96,4
0572,4,1,4,2,64,0.617883,6735,40226,11132,96,4
0573,4,1,4,2,128,0.689854,10093,65970,11658,96,4
0574,4,1,4,3,2,0.526436,3102,14721,14324,66,4
0575,4,1,4,3,4,0.633118,4033,20907,14332,138,4
0576,4,1,4,3,8,0.592798,4508,23185,14315,138,4
0577,4,1,4,3,16,0.615838,5163,27711,14319,138,4
0578,4,1,4,3,32,0.611538,6783,38958,14465,138,4
0579,4,1,4,3,64,0.617461,9600,57512,14820,138,4
0581,4,1,4,4,2,0.559086,4132,20453,17887,84,4
0582,4,1,4,4,4,0.632501,5086,25885,17856,180,4
0583,4,1,4,4,8,0.644750,5391,28835,17844,180,4
0584,4,1,4,4,16,0.611571,6256,34938,17852,180,4
0585,4,1,4,4,32,0.668843,8773,49767,18039,180,4
0586,4,1,4,4,64,0.706645,12409,74769,18509,180,4
0588,4,1,4,5,2,0.566036,4971,24676,21442,102,4
0589,4,1,4,5,4,0.674814,6030,31231,21374,222,4
0590,4,1,4,5,8,0.665404,6658,34976,21375,222,4
0591,4,1,4,5,16,0.622655,7717,42616,21371,222,4
0592,4,1,4,5,32,0.678221,10951,61307,21609,222,4
0595,4,2,1,1,2,0.630566,1628,7958,6286,48,4
0596,4,2,1,1,4,0.593879,1653,8264,6289,54,4
0597,4,2,1,1,8,0.617080,1685,8480,6286,54,4
0598,4,2,1,1,16,0.617457,1746,8881,6289,54,4
0599,4,2,1,1,32,0.616325,1867,9737,6281,54,4
0600,4,2,1,1,64,0.616985,2112,11360,6300,54,4
0601,4,2,1,1,128,0.654333,2472,14607,6351,54,4
0602,4,2,1,2,2,0.642659,2249,11069,8892,84,4
0603,4,2,1,2,4,0.711007,2359,11874,8892,96,4
0604,4,2,1,2,8,0.672355,2324,12411,8889,96,4
0605,4,2,1,2,16,0.657931,2471,13135,8891,96,4
0606,4,2,1,2,32,0.671412,2714,15019,8915,96,4
0607,4,2,1,2,64,0.656046,3316,18355,8953,96,4
0608,4,2,1,2,128,0.653972,4008,24769,9089,96,4
0609,4,2,1,3,2,0.759549,2773,13836,11441,120,4
0610,4,2,1,3,4,0.751160,2986,15237,11431,138,4
0611,4,2,1,3,8,0.659162,2922,15801,11428,138,4
0612,4,2,1,3,16,0.651150,3049,16861,11444,138,4
0613,4,2,1,3,32,0.652846,3584,19769,11481,138,4
0614,4,2,1,3,64,0.671510,4134,24240,11576,138,4
0615,4,2,1,3,128,0.709308,5607,34216,11771,138,4
0616,4,2,1,4,2,0.746178,3278,16586,14286,156,4
0617,4,2,1,4,4,0.733847,3469,18416,14274,183,4
0618,4,2,1,4,8,0.769772,3672,19204,14252,183,4
0619,4,2,1,4,16,0.724235,3939,20839,14279,183,4
0620,4,2,1,4,32,0.727633,4553,24618,14319,183,4
0621,4,2,1,4,64,0.846187,5284,30491,14406,183,4
0622,4,2,1,4,128,0.796474,6931,43655,14647,183,4
0623,4,2,1,5,2,0.824626,3715,18203,16051,30,4
0624,4,2,1,5,4,0.858193,3742,20687,16064,60,4
0625,4,2,1,5,8,0.874685,3979,21619,16038,60,4
0626,4,2,1,5,16,0.808909,4211,23558,16131,60,4
0627,4,2,1,5,32,0.871290,5013,27864,16104,60,4
0628,4,2,1,5,64,0.820454,6075,35618,16258,60,4
0629,4,2,1,5,128,0.841409,8284,52245,16610,60,4
0630,4,2,2,1,2,0.553055,1790,8569,7020,48,4
0631,4,2,2,1,4,0.566829,1893,9320,7034,60,4
0632,4,2,2,1,8,0.593425,1880,9736,7058,60,4
0633,4,2,2,1,16,0.578005,2041,10387,7056,60,4
0634,4,2,2,1,32,0.558253,2342,12339,7081,60,4
0635,4,2,2,1,64,0.608153,2836,15263,7083,60,4
0636,4,2,2,1,128,0.545605,3690,21979,7257,60,4
0637,4,2,2,2,2,0.630397,2474,12309,10450,84,4
0638,4,2,2,2,4,0.612472,2699,13712,10466,108,4
0639,4,2,2,2,8,0.664948,2829,14667,10453,108,4
0640,4,2,2,2,16,0.652392,3089,16019,10466,108,4
0641,4,2,2,2,32,0.608749,3664,19803,10548,108,4
0642,4,2,2,2,64,0.584763,4456,25991,10649,108,4
0643,4,2,2,2,128,0.594634,6277,39155,10878,108,4
0644,4,2,2,3,2,0.663204,3189,15117,13778,120,4
0645,4,2,2,3,4,0.617577,3448,18027,13801,156,4
0646,4,2,2,3,8,0.615152,3635,19241,13799,156,4
0647,4,2,2,3,16,0.792642,3973,21453,13782,156,4
0648,4,2,2,3,32,0.625975,5005,26959,13877,156,4
0649,4,2,2,3,64,0.714373,6020,36288,14050,156,4
0650,4,2,2,3,128,0.682252,8868,56059,14407,156,4
0651,4,2,2,4,2,0.671936,3742,18518,17382,156,4
0652,4,2,2,4,4,0.677925,4313,22314,17320,210,4
0653,4,2,2,4,8,0.680338,4592,23766,17366,210,4
0654,4,2,2,4,16,0.677388,5058,26663,17330,210,4
0655,4,2,2,4,32,0.655223,6255,34117,17406,210,4
0656,4,2,2,4,64,0.757381,7797,46716,17666,210,4
0658,4,2,2,5,2,0.763098,4105,20722,19970,30,4
0659,4,2,2,5,4,0.798921,4774,25646,19987,90,4
0660,4,2,2,5,8,0.771495,5107,27425,20043,90,4
0661,4,2,2,5,16,0.814554,5663,31634,19963,90,4
0662,4,2,2,5,32,0.819021,7610,40584,20093,90,4
0663,4,2,2,5,64,0.788737,9552,56442,20422,90,4
0665,4,2,3,1,2,0.783216,2056,10252,8999,48,4
0666,4,2,3,1,4,0.596320,2079,10230,7815,66,4
0667,4,2,3,1,8,0.622603,2206,10801,7818,66,4
0668,4,2,3,1,16,0.583719,2344,12127,7816,66,4
0669,4,2,3,1,32,0.579578,2829,14910,7854,66,4
0670,4,2,3,1,64,0.583809,3449,19727,7929,66,4
0671,4,2,3,1,128,0.593170,4778,29459,8142,66,4
0672,4,2,3,2,2,0.867286,3153,16047,14348,84,4
0673,4,2,3,2,4,0.618919,3221,15987,11953,120,4
0674,4,2,3,2,8,0.634574,3342,17158,11962,120,4
0675,4,2,3,2,16,0.731294,3704,19317,11955,120,4
0676,4,2,3,2,32,0.647260,4623,25017,12028,120,4
0677,4,2,3,2,64,0.627916,5874,34322,12208,120,4
0678,4,2,3,2,128,0.748389,8562,53930,12602,120,4
0679,4,2,3,3,2,0.843758,4003,21161,19615,120,4
0680,4,2,3,3,4,0.688369,4246,21456,16058,174,4
0681,4,2,3,3,8,0.698085,4395,23072,16047,174,4
0682,4,2,3,3,16,0.741356,4851,26466,16050,174,4
0683,4,2,3,3,32,0.687020,6370,34884,16165,174,4
0684,4,2,3,3,64,0.679823,8253,48952,16423,174,4
0686,4,2,3,4,2,0.869789,5321,27262,25120,156,4
0687,4,2,3,4,4,0.722639,5192,26581,20219,237,4
0688,4,2,3,4,8,0.711690,5474,28731,20228,237,4
0689,4,2,3,4,16,0.704952,6067,33361,20205,237,4
0690,4,2,3,4,32,0.813787,8063,44634,20312,237,4
0691,4,2,3,4,64,0.754363,10568,63002,20641,237,4
0693,4,2,3,5,2,1.049419,5930,31299,29446,30,4
0694,4,2,3,5,4,0.812082,5743,30952,23745,120,4
0695,4,2,3,5,8,0.784175,6097,34041,23743,120,4
0696,4,2,3,5,16,0.868452,7407,39589,23746,120,4
0697,4,2,3,5,32,0.782321,9727,53785,23924,120,4
0700,4,2,4,1,2,0.490764,1948,9211,8036,48,4
0701,4,2,4,1,4,0.626855,2217,11102,8041,72,4
0702,4,2,4,1,8,0.551868,2305,12128,8034,72,4
0703,4,2,4,1,16,0.517643,2581,13639,8040,72,4
0704,4,2,4,1,32,0.533303,3210,17205,8077,72,4
0705,4,2,4,1,64,0.552836,3920,23388,8198,72,4
0706,4,2,4,1,128,0.591419,5813,36534,8449,72,4
0707,4,2,4,2,2,0.555881,2838,13547,12368,84,4
0708,4,2,4,2,4,0.593801,3387,17740,12367,132,4
0709,4,2,4,2,8,0.592429,3617,19100,12371,132,4
0710,4,2,4,2,16,0.602917,4110,22179,12373,132,4
0711,4,2,4,2,32,0.602191,5456,29700,12466,132,4
0712,4,2,4,2,64,0.600820,6993,42161,12702,132,4
0713,4,2,4,2,128,0.643741,10970,68009,13229,132,4
0714,4,2,4,3,2,0.579267,3890,19608,16694,120,4
0715,4,2,4,3,4,0.609356,4480,23621,16692,192,4
0716,4,2,4,3,8,0.632265,4900,25706,16681,192,4
0717,4,2,4,3,16,0.628393,5416,30415,16684,192,4
0718,4,2,4,3,32,0.636218,7519,41428,16849,192,4
0719,4,2,4,3,64,0.674131,10000,60341,17181,192,4
0721,4,2,4,4,2,0.701521,4717,24045,21295,156,4
0722,4,2,4,4,4,0.669486,5691,30119,21276,252,4
0723,4,2,4,4,8,0.684836,6180,33133,21288,252,4
0724,4,2,4,4,16,0.646460,6993,38699,21266,252,4
0725,4,2,4,4,32,0.677411,9623,53386,21434,252,4
0728,4,2,4,5,2,0.699570,5464,27690,24813,30,4
0729,4,2,4,5,4,0.761135,6438,34949,24827,150,4
0730,4,2,4,5,8,0.704742,7326,38669,24809,150,4
0731,4,2,4,5,16,0.743700,8203,46246,24793,150,4
0732,4,2,4,5,32,0.756380,11496,65002,25063,150,4
0735,4,3,1,1,2,0.665507,1810,9235,7079,66,4
0736,4,3,1,1,4,0.649406,1920,9543,7081,72,4
0737,4,3,1,1,8,0.684245,1941,9777,7078,72,4
0738,4,3,1,1,16,0.685751,1959,10230,7086,72,4
0739,4,3,1,1,32,0.675865,2226,11062,7090,72,4
0740,4,3,1,1,64,0.622477,2321,12706,7098,72,4
0741,4,3,1,1,128,0.636978,2696,15957,7142,72,4
0742,4,3,1,2,2,0.669377,2646,13285,10455,120,4
0743,4,3,1,2,4,0.728955,2839,14025,10470,132,4
0744,4,3,1,2,8,0.687166,2688,14376,10471,132,4
0745,4,3,1,2,16,0.730367,2817,15122,10459,132,4
0746,4,3,1,2,32,0.675777,3092,17114,10493,132,4
0747,4,3,1,2,64,0.731684,3676,20145,10527,132,4
0748,4,3,1,2,128,0.660530,4359,26649,10666,132,4
0749,4,3,1,3,2,0.830188,3025,16282,13373,30,4
0750,4,3,1,3,4,0.820985,3254,17786,13349,48,4
0751,4,3,1,3,8,0.854503,3294,18315,13391,48,4
0752,4,3,1,3,16,0.842200,3473,19523,13381,48,4
0753,4,3,1,3,32,0.820501,4000,22277,13434,48,4
0754,4,3,1,3,64,0.810136,4684,26992,13498,48,4
0755,4,3,1,3,128,0.847431,6065,36797,13733,48,4
0756,4,3,1,4,2,0.874900,3582,19521,16555,30,4
0757,4,3,1,4,4,0.868308,3934,21431,16554,57,4
0758,4,3,1,4,8,0.828077,4043,22056,16546,57,4
0759,4,3,1,4,16,0.826817,4405,23447,16531,57,4
0760,4,3,1,4,32,0.863073,5043,27321,16586,57,4
0761,4,3,1,4,64,0.851828,6120,33456,16668,57,4
0762,4,3,1,4,128,0.831664,7238,46541,16957,57,4
0763,4,3,1,5,2,0.888120,4309,23114,19683,30,4
0764,4,3,1,5,4,0.842983,4781,25637,19677,60,4
0765,4,3,1,5,8,0.868167,4924,26811,19701,60,4
0766,4,3,1,5,16,0.887733,5619,28819,19704,60,4
0767,4,3,1,5,32,0.842014,5912,33178,19806,60,4
0768,4,3,1,5,64,0.874366,6902,40923,19910,60,4
0769,4,3,1,5,128,0.863130,9158,57520,20296,60,4
0770,4,3,2,1,2,0.584158,1958,9781,7859,66,4
0771,4,3,2,1,4,0.593411,2116,10607,7867,78,4
0772,4,3,2,1,8,0.554582,2137,11009,7847,78,4
0773,4,3,2,1,16,0.602664,2285,11845,7845,78,4
0774,4,3,2,1,32,0.577066,2692,13701,7894,78,4
0775,4,3,2,1,64,0.589000,3003,16759,7879,78,4
0776,4,3,2,1,128,0.563144,3799,23219,8037,78,4
0777,4,3,2,2,2,0.651494,2837,14405,12028,120,4
0778,4,3,2,2,4,0.714508,3435,15889,12056,144,4
0779,4,3,2,2,8,0.666880,3398,16742,12006,144,4
0780,4,3,2,2,16,0.666794,3420,18180,12045,144,4
0781,4,3,2,2,32,0.605854,4033,21887,12071,144,4
0782,4,3,2,2,64,0.625994,4767,28157,12187,144,4
0783,4,3,2,2,128,0.650197,6582,41145,12434,144,4
0784,4,3,2,3,2,0.755540,3489,17571,15743,30,4
0785,4,3,2,3,4,0.762230,3914,20720,15690,66,4
0786,4,3,2,3,8,0.737345,4035,21652,15733,66,4
0787,4,3,2,3,16,0.774181,4349,23970,15726,66,4
0788,4,3,2,3,32,0.756165,5466,29632,15780,66,4
0789,4,3,2,3,64,0.797550,6675,38868,15981,66,4
0790,4,3,2,3,128,0.769454,9207,58578,16394,66,4
0791,4,3,2,4,2,0.805687,4263,21302,19650,30,4
0792,4,3,2,4,4,0.793285,4632,25150,19623,84,4
0793,4,3,2,4,8,0.797657,4925,26568,19652,84,4
0794,4,3,2,4,16,0.811755,5269,29584,19648,84,4
0795,4,3,2,4,32,0.776333,6796,36898,19775,84,4
0796,4,3,2,4,64,0.791590,8317,49512,19963,84,4
0798,4,3,2,5,2,0.787381,5243,25671,23550,30,4
0799,4,3,2,5,4,0.807981,5957,31074,23637,90,4
0800,4,3,2,5,8,0.838481,6219,32936,23657,90,4
0801,4,3,2,5,16,0.814938,6572,36635,23602,90,4
0802,4,3,2,5,32,0.790859,8205,45695,23783,90,4
0803,4,3,2,5,64,0.781941,10266,61322,24062,90,4
0805,4,3,3,1,2,0.803020,2387,11620,9799,66,4
0806,4,3,3,1,4,0.601054,2349,11653,8609,84,4
0807,4,3,3,1,8,0.620373,2472,12232,8613,84,4
0808,4,3,3,1,16,0.586766,2482,13375,8616,84,4
0809,4,3,3,1,32,0.595033,3121,16227,8655,84,4
0810,4,3,3,1,64,0.580836,3699,21094,8734,84,4
0811,4,3,3,1,128,0.601143,5080,30644,8943,84,4
0812,4,3,3,2,2,0.864626,3494,18234,15929,120,4
0813,4,3,3,2,4,0.660257,3589,18136,13538,156,4
0814,4,3,3,2,8,0.694657,3773,19300,13521,156,4
0815,4,3,3,2,16,0.661694,4009,21609,13538,156,4
0816,4,3,3,2,32,0.695466,4842,26926,13603,156,4
0817,4,3,3,2,64,0.710375,6153,36434,13779,156,4
0818,4,3,3,2,128,0.699328,8846,56019,14174,156,4
0819,4,3,3,3,2,1.039655,4557,24076,21572,30,4
0820,4,3,3,3,4,0.786665,4483,23897,17983,84,4
0821,4,3,3,3,8,0.780555,4587,25553,17990,84,4
0822,4,3,3,3,16,0.802680,5319,29194,17975,84,4
0823,4,3,3,3,32,0.785369,6679,37425,18103,84,4
0824,4,3,3,3,64,0.770650,8603,51265,18375,84,4
0826,4,3,3,4,2,1.064515,5867,30006,27382,30,4
0827,4,3,3,4,4,0.852719,5448,29409,22498,111,4
0828,4,3,3,4,8,0.855429,5928,31693,22464,111,4
0829,4,3,3,4,16,0.830016,6937,36142,22452,111,4
0830,4,3,3,4,32,0.818618,8365,47390,22599,111,4
0831,4,3,3,4,64,0.808808,10944,65783,22948,111,4
0833,4,3,3,5,2,1.022266,6722,36166,32995,30,4
0834,4,3,3,5,4,0.811014,6674,36483,27400,120,4
0835,4,3,3,5,8,0.809163,7157,39137,27394,120,4
0836,4,3,3,5,16,0.832766,8007,44765,27384,120,4
0837,4,3,3,5,32,0.880990,10649,58861,27606,120,4
0840,4,3,4,1,2,0.542600,2218,10653,8824,66,4
0841,4,3,4,1,4,0.537927,2459,12483,8823,90,4
0842,4,3,4,1,8,0.558391,2664,13430,8839,90,4
0843,4,3,4,1,16,0.536719,2846,14630,8825,90,4
0844,4,3,4,1,32,0.537283,3259,18426,8879,90,4
0845,4,3,4,1,64,0.536638,4106,24680,8994,90,4
0846,4,3,4,1,128,0.585299,6060,37688,9264,90,4
0847,4,3,4,2,2,0.607648,3097,15719,13927,120,4
0848,4,3,4,2,4,0.577692,3880,19789,13932,168,4
0849,4,3,4,2,8,0.585423,3918,21224,13953,168,4
0850,4,3,4,2,16,0.688093,4460,24225,13950,168,4
0851,4,3,4,2,32,0.588000,5682,31483,14062,168,4
0852,4,3,4,2,64,0.610949,7433,44257,14306,168,4
0853,4,3,4,2,128,0.688254,10904,70231,14808,168,4
0854,4,3,4,3,2,0.704530,4325,22479,18626,30,4
0855,4,3,4,3,4,0.735260,4910,26242,18613,102,4
0856,4,3,4,3,8,0.738424,5230,28442,18629,102,4
0857,4,3,4,3,16,0.734177,5826,33024,18607,102,4
0858,4,3,4,3,32,0.760243,7783,44054,18805,102,4
0859,4,3,4,3,64,0.724850,10366,62889,19103,102,4
0861,4,3,4,4,2,0.718133,5334,27840,23550,30,4
0862,4,3,4,4,4,0.741032,5896,32713,23547,126,4
0863,4,3,4,4,8,0.708640,6567,35847,23572,126,4
0864,4,3,4,4,16,0.731789,7484,41843,23552,126,4
0865,4,3,4,4,32,0.747361,9840,56679,23723,126,4
0868,4,3,4,5,2,0.736918,6631,33649,28548,30,4
0869,4,3,4,5,4,0.716434,7841,40120,28487,150,4
0870,4,3,4,5,8,0.739666,7931,43934,28492,150,4
0871,4,3,4,5,16,0.724261,8953,51228,28423,150,4
0875,4,4,1,1,2,0.656027,2062,10195,7846,84,4
0876,4,4,1,1,4,0.659038,2185,10187,7848,90,4
0877,4,4,1,1,8,0.697893,2126,10582,7843,90,4
0878,4,4,1,1,16,0.806839,2202,11148,7835,90,4
0879,4,4,1,1,32,0.661860,2247,11722,7848,90,4
0880,4,4,1,1,64,0.719438,2496,13508,7850,90,4
0881,4,4,1,1,128,0.664494,2913,16752,7921,90,4
0882,4,4,1,2,2,0.718021,3200,15361,12299,156,4
0883,4,4,1,2,4,0.735252,3212,15913,12307,168,4
0884,4,4,1,2,8,0.817829,3252,16461,12312,168,4
0885,4,4,1,2,16,0.708824,3191,17205,12314,168,4
0886,4,4,1,2,32,0.767199,3538,19243,12333,168,4
0887,4,4,1,2,64,0.719473,3900,22123,12389,168,4
0888,4,4,1,2,128,0.709502,4837,28595,12544,168,4
0889,4,4,1,3,2,0.861375,3656,18853,15486,30,4
0890,4,4,1,3,4,0.821980,3711,19889,15489,48,4
0891,4,4,1,3,8,0.884509,3938,20570,15519,48,4
0892,4,4,1,3,16,0.866021,3995,21820,15517,48,4
0893,4,4,1,3,32,0.810752,4404,24447,15535,48,4
0894,4,4,1,3,64,0.844727,4911,29113,15636,48,4
0895,4,4,1,3,128,0.905514,6283,39286,15810,48,4
0896,4,4,1,4,2,0.884184,4660,23065,19346,30,4
0897,4,4,1,4,4,0.838076,4686,24546,19318,57,4
0898,4,4,1,4,8,0.867232,5035,25511,19338,57,4
0899,4,4,1,4,16,0.897067,4701,26543,19340,57,4
0900,4,4,1,4,32,0.847859,5366,30867,19391,57,4
0901,4,4,1,4,64,0.850184,6218,36961,19490,57,4
0902,4,4,1,4,128,0.833330,8144,49636,19681,57,4
0903,4,4,1,5,2,0.846960,4888,26846,23224,30,4
0904,4,4,1,5,4,0.855477,5376,28049,23118,60,4
0905,4,4,1,5,8,0.861768,5528,30637,23198,60,4
0906,4,4,1,5,16,0.881512,5735,31963,23202,60,4
0907,4,4,1,5,32,0.860703,6605,37243,23265,60,4
0908,4,4,1,5,64,0.907547,7767,45672,23398,60,4
0910,4,4,2,1,2,0.603857,2099,10379,8616,84,4
0911,4,4,2,1,4,0.610855,2331,11417,8577,96,4
0912,4,4,2,1,8,0.612238,2254,11740,8635,96,4
0913,4,4,2,1,16,0.589601,2404,12674,8600,96,4
0914,4,4,2,1,32,0.620619,2682,14333,8629,96,4
0915,4,4,2,1,64,0.600141,3140,17441,8675,96,4
0916,4,4,2,1,128,0.609041,3980,23917,8832,96,4
0917,4,4,2,2,2,0.654908,3186,16412,13868,156,4
0918,4,4,2,2,4,0.745729,3429,17871,13876,180,4
0919,4,4,2,2,8,0.645015,3602,18780,13851,180,4
0920,4,4,2,2,16,0.720239,3670,20111,13883,180,4
0921,4,4,2,2,32,0.659008,4267,23673,13898,180,4
0922,4,4,2,2,64,0.697511,5338,30024,14065,180,4
0923,4,4,2,2,128,0.668634,7186,43187,14303,180,4
0924,4,4,2,3,2,0.776367,3677,19810,17842,30,4
0925,4,4,2,3,4,0.795081,4308,22595,17835,66,4
0926,4,4,2,3,8,0.784030,4333,23900,17826,66,4
0927,4,4,2,3,16,0.782694,4650,26356,17875,66,4
0928,4,4,2,3,32,0.775475,5701,31775,17918,66,4
0929,4,4,2,3,64,0.757920,6845,41049,18128,66,4
0931,4,4,2,4,2,0.813552,4838,24339,22422,30,4
0932,4,4,2,4,4,0.745087,5506,28341,22400,84,4
0933,4,4,2,4,8,0.804192,6238,29935,22445,84,4
0934,4,4,2,4,16,0.799021,5945,33170,22373,84,4
0935,4,4,2,4,32,0.804637,7162,40001,22503,84,4
0936,4,4,2,4,64,0.809986,8694,52526,22710,84,4
0938,4,4,2,5,2,0.777792,5989,29587,27180,30,4
0939,4,4,2,5,4,0.801850,6521,34285,27116,90,4
0940,4,4,2,5,8,0.765496,6554,36398,27127,90,4
0941,4,4,2,5,16,0.819938,7170,40315,27089,90,4
