n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2,lut,ff,dsp,bram
2681,5,400,3,2,4,3,2,25,160000,0,2.3788,238,1203,267,0,10
2682,5,400,3,2,4,3,3,25,160000,0,2.0981,227,1304,281,0,10
2683,5,400,3,2,4,3,4,25,160000,0,2.9106,255,1450,282,0,10
2684,5,400,3,2,4,4,1,25,160000,0,2.1167,230,1372,254,0,10
2685,5,400,3,2,4,4,2,25,160000,0,2.3453,215,1252,265,0,10
2686,5,400,3,2,4,4,3,25,160000,0,2.1576,244,1500,280,0,10
2687,5,400,3,2,4,4,4,25,160000,0,2.9706,250,1531,281,0,10
2688,5,400,3,3,1,1,1,25,160000,0,2.1762,197,1090,246,0,10
2689,5,400,3,3,1,1,2,25,160000,0,2.2478,194,1144,172,0,10
2690,5,400,3,3,1,1,3,25,160000,0,1.9709,206,1096,270,0,10
2691,5,400,3,3,1,1,4,25,160000,0,2.8633,193,1107,172,0,10
2692,5,400,3,3,1,2,1,25,160000,0,1.9197,204,1099,257,0,10
2693,5,400,3,3,1,2,2,25,160000,0,2.1352,201,1125,265,0,10
2694,5,400,3,3,1,2,3,25,160000,0,2.0271,198,1044,279,0,10
2695,5,400,3,3,1,2,4,25,160000,0,2.7364,221,1206,282,0,10
2696,5,400,3,3,1,3,1,25,160000,0,1.7480,213,1184,264,0,10
2697,5,400,3,3,1,3,2,25,160000,0,2.4631,226,1318,273,0,10
2698,5,400,3,3,1,3,3,25,160000,0,1.8405,201,1187,288,0,10
2699,5,400,3,3,1,3,4,25,160000,0,2.7086,256,1607,291,0,10
2700,5,400,3,3,1,4,1,25,160000,0,1.8614,195,1122,172,0,10
2701,5,400,3,3,1,4,2,25,160000,0,2.3350,267,1537,273,0,10
2702,5,400,3,3,1,4,3,25,160000,0,2.0824,223,1294,288,0,10
2703,5,400,3,3,1,4,4,25,160000,0,2.5562,238,1409,291,0,10
2704,5,400,3,3,2,1,1,25,160000,0,2.1607,245,1310,244,0,10
2705,5,400,3,3,2,1,2,25,160000,0,1.8574,189,1098,167,0,10
2706,5,400,3,3,2,1,3,25,160000,0,1.9847,219,1294,268,0,10
2707,5,400,3,3,2,1,4,25,160000,0,2.6936,184,1062,273,0,10
2708,5,400,3,3,2,2,1,25,160000,0,1.8275,210,1225,172,0,10
2709,5,400,3,3,2,2,2,25,160000,0,2.3242,182,1001,262,0,10
2710,5,400,3,3,2,2,3,25,160000,0,2.1551,249,1426,277,0,10
2711,5,400,3,3,2,2,4,25,160000,0,2.6893,240,1390,280,0,10
2712,5,400,3,3,2,3,1,25,160000,0,2.0791,194,1214,262,0,10
2713,5,400,3,3,2,3,2,25,160000,0,2.4785,232,1379,271,0,10
2714,5,400,3,3,2,3,3,25,160000,0,2.0369,267,1629,286,0,10
2715,5,400,3,3,2,3,4,25,160000,0,2.5273,282,1710,177,0,10
2716,5,400,3,3,2,4,1,25,160000,0,2.1125,226,1303,262,0,10
2717,5,400,3,3,2,4,2,25,160000,0,2.3241,222,1276,271,0,10
2718,5,400,3,3,2,4,3,25,160000,0,2.0631,238,1403,286,0,10
2719,5,400,3,3,2,4,4,25,160000,0,2.4410,264,1565,178,0,10
2720,5,400,3,3,3,1,1,25,160000,0,1.9020,205,1199,253,0,10
2721,5,400,3,3,3,1,2,25,160000,0,2.2754,214,1128,262,0,10
2722,5,400,3,3,3,1,3,25,160000,0,2.0664,201,1173,277,0,10
2723,5,400,3,3,3,1,4,25,160000,0,2.7689,218,1175,279,0,10
2724,5,400,3,3,3,2,1,25,160000,0,2.0055,219,1261,260,0,10
2725,5,400,3,3,3,2,2,25,160000,0,2.1892,228,1094,269,0,10
2726,5,400,3,3,3,2,3,25,160000,0,2.0957,210,1237,284,0,10
2727,5,400,3,3,3,2,4,25,160000,0,2.7094,237,1471,288,0,10
2728,5,400,3,3,3,3,1,25,160000,0,2.1266,218,1281,271,0,10
2729,5,400,3,3,3,3,2,25,160000,0,2.3011,250,1490,280,0,10
2730,5,400,3,3,3,3,3,25,160000,0,2.1207,282,1716,182,0,10
2731,5,400,3,3,3,3,4,25,160000,0,2.4683,361,2157,188,0,10
2732,5,400,3,3,3,4,1,25,160000,0,1.9588,260,1536,271,0,10
2733,5,400,3,3,3,4,2,25,160000,0,2.2693,271,1589,280,0,10
2734,5,400,3,3,3,4,3,25,160000,0,1.9407,282,1662,183,0,10
2735,5,400,3,3,3,4,4,25,160000,0,2.7091,326,2056,181,0,10
2736,5,400,3,3,4,1,1,25,160000,0,2.0039,210,1165,169,0,10
2737,5,400,3,3,4,1,2,25,160000,0,2.3983,216,1110,263,0,10
2738,5,400,3,3,4,1,3,25,160000,0,1.9804,196,1160,276,0,10
2739,5,400,3,3,4,1,4,25,160000,0,2.8962,221,1304,279,0,10
2740,5,400,3,3,4,2,1,25,160000,0,2.1122,184,1046,260,0,10
2741,5,400,3,3,4,2,2,25,160000,0,2.2789,209,1182,270,0,10
2742,5,400,3,3,4,2,3,25,160000,0,2.3510,254,1331,284,0,10
2743,5,400,3,3,4,2,4,25,160000,0,2.5465,213,1168,287,0,10
2744,5,400,3,3,4,3,1,25,160000,0,2.1135,237,1444,270,0,10
2745,5,400,3,3,4,3,2,25,160000,0,2.2736,269,1547,281,0,10
2746,5,400,3,3,4,3,3,25,160000,0,1.9864,309,1957,180,0,10
2747,5,400,3,3,4,3,4,25,160000,0,2.6573,288,1705,180,0,10
2748,5,400,3,3,4,4,1,25,160000,0,2.0953,264,1621,271,0,10
2749,5,400,3,3,4,4,2,25,160000,0,2.3074,269,1645,283,0,10
2750,5,400,3,3,4,4,3,25,160000,0,2.1534,309,1984,181,0,10
2751,5,400,3,3,4,4,4,25,160000,0,2.7270,323,1881,179,0,10
2752,5,400,3,4,1,1,1,25,160000,0,2.0566,268,1568,247,0,10
2753,5,400,3,4,1,1,2,25,160000,0,2.1561,234,1266,171,0,10
2754,5,400,3,4,1,1,3,25,160000,0,2.0903,232,1370,271,0,10
2755,5,400,3,4,1,1,4,25,160000,0,2.4645,205,1145,275,0,10
2756,5,400,3,4,1,2,1,25,160000,0,1.9710,255,1413,172,0,10
2757,5,400,3,4,1,2,2,25,160000,0,2.2042,203,1053,171,0,10
2758,5,400,3,4,1,2,3,25,160000,0,2.1494,250,1556,279,0,10
2759,5,400,3,4,1,2,4,25,160000,0,2.7833,253,1429,283,0,10
2760,5,400,3,4,1,3,1,25,160000,0,1.9696,256,1512,265,0,10
2761,5,400,3,4,1,3,2,25,160000,0,2.1988,222,1363,275,0,10
2762,5,400,3,4,1,3,3,25,160000,0,2.2006,283,1668,289,0,10
2763,5,400,3,4,1,3,4,25,160000,0,2.4103,348,1960,183,0,10
2764,5,400,3,4,1,4,1,25,160000,0,2.1480,244,1474,268,0,10
2765,5,400,3,4,1,4,2,25,160000,0,2.4021,270,1537,275,0,10
2766,5,400,3,4,1,4,3,25,160000,0,2.3643,285,1768,292,0,10
2767,5,400,3,4,1,4,4,25,160000,0,2.8333,360,2178,186,0,10
2768,5,400,3,4,2,1,1,25,160000,0,2.3458,223,1274,247,0,10
2769,5,400,3,4,2,1,2,25,160000,0,2.2672,222,1196,255,0,10
2770,5,400,3,4,2,1,3,25,160000,0,2.2452,233,1293,270,0,10
2771,5,400,3,4,2,1,4,25,160000,0,2.6645,253,1447,274,0,10
2772,5,400,3,4,2,2,1,25,160000,0,2.1367,236,1291,253,0,10
2773,5,400,3,4,2,2,2,25,160000,0,2.3864,250,1380,260,0,10
2774,5,400,3,4,2,2,3,25,160000,0,2.1653,242,1348,275,0,10
2775,5,400,3,4,2,2,4,25,160000,0,2.9513,275,1692,279,0,10
2776,5,400,3,4,2,3,1,25,160000,0,2.1909,271,1647,265,0,10
2777,5,400,3,4,2,3,2,25,160000,0,2.4634,253,1602,273,0,10
2778,5,400,3,4,2,3,3,25,160000,0,1.9117,324,1855,175,0,10
2779,5,400,3,4,2,3,4,25,160000,0,2.7532,364,2166,182,0,10
2780,5,400,3,4,2,4,1,25,160000,0,2.3551,306,1916,266,0,10
2781,5,400,3,4,2,4,2,25,160000,0,2.3598,264,1681,273,0,10
2782,5,400,3,4,2,4,3,25,160000,0,2.1642,322,2031,178,0,10
2783,5,400,3,4,2,4,4,25,160000,0,2.8779,401,2356,183,0,10
2784,5,400,3,4,3,1,1,25,160000,0,2.1577,263,1499,173,0,10
2785,5,400,3,4,3,1,2,25,160000,0,2.2904,201,1095,265,0,10
2786,5,400,3,4,3,1,3,25,160000,0,2.1959,245,1437,280,0,10
2787,5,400,3,4,3,1,4,25,160000,0,2.9900,265,1603,282,0,10
2788,5,400,3,4,3,2,1,25,160000,0,2.1542,232,1285,262,0,10
2789,5,400,3,4,3,2,2,25,160000,0,2.4787,247,1441,270,0,10
2790,5,400,3,4,3,2,3,25,160000,0,2.2082,262,1612,285,0,10
2791,5,400,3,4,3,2,4,25,160000,0,2.9039,228,1168,287,0,10
2792,5,400,3,4,3,3,1,25,160000,0,2.2154,290,1709,274,0,10
2793,5,400,3,4,3,3,2,25,160000,0,2.6407,277,1789,283,0,10
2794,5,400,3,4,3,3,3,25,160000,0,2.3022,305,1853,185,0,10
2795,5,400,3,4,3,3,4,25,160000,0,2.5085,272,1586,181,0,10
2796,5,400,3,4,3,4,1,25,160000,0,2.4003,304,1919,275,0,10
2797,5,400,3,4,3,4,2,25,160000,0,2.4195,326,2036,283,0,10
2798,5,400,3,4,3,4,3,25,160000,0,2.0947,376,2374,186,0,10
2799,5,400,3,4,3,4,4,25,160000,0,2.7457,333,2046,181,0,10
2800,5,400,3,4,4,1,1,25,160000,0,2.1695,239,1376,255,0,10
2801,5,400,3,4,4,1,2,25,160000,0,2.4521,266,1583,265,0,10
2802,5,400,3,4,4,1,3,25,160000,0,2.2117,263,1585,280,0,10
2803,5,400,3,4,4,1,4,25,160000,0,2.8488,286,1662,282,0,10
2804,5,400,3,4,4,2,1,25,160000,0,2.1060,190,1053,259,0,10
2805,5,400,3,4,4,2,2,25,160000,0,2.4967,282,1601,270,0,10
2806,5,400,3,4,4,2,3,25,160000,0,2.0777,224,1213,285,0,10
2807,5,400,3,4,4,2,4,25,160000,0,2.8829,269,1540,286,0,10
2808,5,400,3,4,4,3,1,25,160000,0,2.0828,238,1417,272,0,10
2809,5,400,3,4,4,3,2,25,160000,0,2.5302,324,1912,284,0,10
2810,5,400,3,4,4,3,3,25,160000,0,1.9341,270,1697,179,0,10
2811,5,400,3,4,4,3,4,25,160000,0,2.7710,328,2029,179,0,10
2812,5,400,3,4,4,4,1,25,160000,0,2.1775,254,1442,271,0,10
2813,5,400,3,4,4,4,2,25,160000,0,2.4055,308,1862,282,0,10
2814,5,400,3,4,4,4,3,25,160000,0,1.9814,342,1953,179,0,10
2815,5,400,3,4,4,4,4,25,160000,0,2.6629,373,2134,176,0,10
2816,5,400,4,1,1,1,1,25,160000,0,0.4404,163,788,233,0,10
2817,5,400,4,1,1,1,2,25,160000,0,0.6702,173,1018,236,0,10
2818,5,400,4,1,1,1,3,25,160000,0,0.6260,188,1092,240,0,10
2819,5,400,4,1,1,1,4,25,160000,0,0.7810,217,1184,247,0,10
2820,5,400,4,1,1,2,1,25,160000,0,0.5778,176,1003,241,0,10
2821,5,400,4,1,1,2,2,25,160000,0,0.7201,187,1069,244,0,10
2822,5,400,4,1,1,2,3,25,160000,0,0.6445,199,1040,248,0,10
2823,5,400,4,1,1,2,4,25,160000,0,0.8096,186,1047,252,0,10
2824,5,400,4,1,1,3,1,25,160000,0,0.6465,195,1116,257,0,10
2825,5,400,4,1,1,3,2,25,160000,0,0.7671,218,1274,260,0,10
2826,5,400,4,1,1,3,3,25,160000,0,0.6119,246,1400,264,0,10
2827,5,400,4,1,1,3,4,25,160000,0,0.7809,253,1463,182,0,10
2828,5,400,4,1,1,4,1,25,160000,0,0.6761,214,1332,257,0,10
2829,5,400,4,1,1,4,2,25,160000,0,0.6870,229,1387,260,0,10
2830,5,400,4,1,1,4,3,25,160000,0,0.6867,254,1496,264,0,10
2831,5,400,4,1,1,4,4,25,160000,0,0.8610,264,1544,268,0,10
2832,5,400,4,1,2,1,1,25,160000,0,0.6385,191,1006,237,0,10
2833,5,400,4,1,2,1,2,25,160000,0,0.6810,199,1079,240,0,10
2834,5,400,4,1,2,1,3,25,160000,0,0.6121,186,1043,244,0,10
2835,5,400,4,1,2,1,4,25,160000,0,0.7390,204,1083,248,0,10
2836,5,400,4,1,2,2,1,25,160000,0,0.6564,180,832,245,0,10
2837,5,400,4,1,2,2,2,25,160000,0,0.6903,190,928,248,0,10
2838,5,400,4,1,2,2,3,25,160000,0,0.6355,175,964,252,0,10
2839,5,400,4,1,2,2,4,25,160000,0,0.8261,168,888,258,0,10
2840,5,400,4,1,2,3,1,25,160000,0,0.6820,206,1185,261,0,10
2841,5,400,4,1,2,3,2,25,160000,0,0.7434,213,1202,180,0,10
2842,5,400,4,1,2,3,3,25,160000,0,0.6536,224,1287,268,0,10
2843,5,400,4,1,2,3,4,25,160000,0,0.7586,221,1295,272,0,10
2844,5,400,4,1,2,4,1,25,160000,0,0.6692,231,1411,261,0,10
2845,5,400,4,1,2,4,2,25,160000,0,0.7310,229,1297,180,0,10
2846,5,400,4,1,2,4,3,25,160000,0,0.6599,223,1269,268,0,10
2847,5,400,4,1,2,4,4,25,160000,0,0.7494,218,1293,274,0,10
2848,5,400,4,1,3,1,1,25,160000,0,0.5765,182,1073,254,0,10
2849,5,400,4,1,3,1,2,25,160000,0,0.6571,201,1134,257,0,10
2850,5,400,4,1,3,1,3,25,160000,0,0.6051,189,1125,261,0,10
2851,5,400,4,1,3,1,4,25,160000,0,0.8206,213,1212,261,0,10
2852,5,400,4,1,3,2,1,25,160000,0,0.6689,186,1055,262,0,10
2853,5,400,4,1,3,2,2,25,160000,0,0.6654,180,1071,265,0,10
2854,5,400,4,1,3,2,3,25,160000,0,0.6228,182,1008,269,0,10
2855,5,400,4,1,3,2,4,25,160000,0,0.8915,180,1129,269,0,10
2856,5,400,4,1,3,3,1,25,160000,0,0.7035,270,1505,278,0,10
2857,5,400,4,1,3,3,2,25,160000,0,0.6912,252,1439,193,0,10
2858,5,400,4,1,3,3,3,25,160000,0,0.6269,262,1567,285,0,10
2859,5,400,4,1,3,3,4,25,160000,0,0.8676,258,1596,285,0,10
2860,5,400,4,1,3,4,1,25,160000,0,0.7039,254,1617,278,0,10
2861,5,400,4,1,3,4,2,25,160000,0,0.7101,259,1519,193,0,10
2862,5,400,4,1,3,4,3,25,160000,0,0.7002,244,1456,285,0,10
2863,5,400,4,1,3,4,4,25,160000,0,0.8509,280,1611,285,0,10
2864,5,400,4,1,4,1,1,25,160000,0,0.6860,182,983,251,0,10
2865,5,400,4,1,4,1,2,25,160000,0,0.6425,189,997,254,0,10
2866,5,400,4,1,4,1,3,25,160000,0,0.6643,197,1113,257,0,10
2867,5,400,4,1,4,1,4,25,160000,0,0.7581,207,1127,258,0,10
2868,5,400,4,1,4,2,1,25,160000,0,0.7367,194,1187,259,0,10
2869,5,400,4,1,4,2,2,25,160000,0,0.6495,197,1132,262,0,10
2870,5,400,4,1,4,2,3,25,160000,0,0.6683,207,1191,265,0,10
2871,5,400,4,1,4,2,4,25,160000,0,0.7594,205,1067,266,0,10
2872,5,400,4,1,4,3,1,25,160000,0,0.6175,221,1219,275,0,10
2873,5,400,4,1,4,3,2,25,160000,0,0.7187,225,1267,278,0,10
2874,5,400,4,1,4,3,3,25,160000,0,0.6347,203,1239,281,0,10
2875,5,400,4,1,4,3,4,25,160000,0,0.8511,237,1294,282,0,10
2876,5,400,4,1,4,4,1,25,160000,0,0.6699,245,1364,275,0,10
2877,5,400,4,1,4,4,2,25,160000,0,0.7701,249,1468,278,0,10
2878,5,400,4,1,4,4,3,25,160000,0,0.7343,244,1419,282,0,10
2879,5,400,4,1,4,4,4,25,160000,0,0.8187,253,1551,283,0,10
2880,5,400,4,2,1,1,1,25,160000,0,0.7029,154,875,244,0,10
2881,5,400,4,2,1,1,2,25,160000,0,0.6699,157,899,247,0,10
2882,5,400,4,2,1,1,3,25,160000,0,0.6487,185,945,252,0,10
2883,5,400,4,2,1,1,4,25,160000,0,0.8409,173,947,256,0,10
2884,5,400,4,2,1,2,1,25,160000,0,0.6155,199,1184,253,0,10
2885,5,400,4,2,1,2,2,25,160000,0,0.7202,193,1129,255,0,10
2886,5,400,4,2,1,2,3,25,160000,0,0.6196,213,1223,260,0,10
2887,5,400,4,2,1,2,4,25,160000,0,0.9166,207,1140,264,0,10
2888,5,400,4,2,1,3,1,25,160000,0,0.6555,220,1337,268,0,10
2889,5,400,4,2,1,3,2,25,160000,0,0.6821,215,1013,179,0,10
2890,5,400,4,2,1,3,3,25,160000,0,0.6530,220,1211,276,0,10
2891,5,400,4,2,1,3,4,25,160000,0,0.8347,199,1092,280,0,10
2892,5,400,4,2,1,4,1,25,160000,0,0.6837,219,1285,268,0,10
2893,5,400,4,2,1,4,2,25,160000,0,0.7240,224,1270,178,0,10
2894,5,400,4,2,1,4,3,25,160000,0,0.6637,217,1327,275,0,10
2895,5,400,4,2,1,4,4,25,160000,0,0.8204,228,1309,280,0,10
2896,5,400,4,2,2,1,1,25,160000,0,0.6922,199,1070,249,0,10
2897,5,400,4,2,2,1,2,25,160000,0,0.6956,210,989,252,0,10
2898,5,400,4,2,2,1,3,25,160000,0,0.6286,185,1077,256,0,10
2899,5,400,4,2,2,1,4,25,160000,0,0.7971,205,1066,260,0,10
2900,5,400,4,2,2,2,1,25,160000,0,0.6834,231,1269,256,0,10
2901,5,400,4,2,2,2,2,25,160000,0,0.7075,223,1226,259,0,10
2902,5,400,4,2,2,2,3,25,160000,0,0.6613,206,1171,178,0,10
2903,5,400,4,2,2,2,4,25,160000,0,0.8873,244,1446,267,0,10
2904,5,400,4,2,2,3,1,25,160000,0,0.6859,257,1502,273,0,10
2905,5,400,4,2,2,3,2,25,160000,0,0.7480,250,1462,276,0,10
2906,5,400,4,2,2,3,3,25,160000,0,0.6855,213,1206,280,0,10
2907,5,400,4,2,2,3,4,25,160000,0,0.9051,211,1252,284,0,10
2908,5,400,4,2,2,4,1,25,160000,0,0.7078,284,1905,272,0,10
2909,5,400,4,2,2,4,2,25,160000,0,0.7676,276,1751,275,0,10
2910,5,400,4,2,2,4,3,25,160000,0,0.7414,253,1710,279,0,10
2911,5,400,4,2,2,4,4,25,160000,0,0.8850,254,1486,283,0,10
2912,5,400,4,2,3,1,1,25,160000,0,0.5850,201,1129,266,0,10
2913,5,400,4,2,3,1,2,25,160000,0,0.6746,204,1199,268,0,10
2914,5,400,4,2,3,1,3,25,160000,0,0.6414,208,1136,273,0,10
2915,5,400,4,2,3,1,4,25,160000,0,0.7438,192,1122,273,0,10
2916,5,400,4,2,3,2,1,25,160000,0,0.7008,232,1221,273,0,10
2917,5,400,4,2,3,2,2,25,160000,0,0.6698,189,1023,191,0,10
2918,5,400,4,2,3,2,3,25,160000,0,0.6697,229,1215,280,0,10
2919,5,400,4,2,3,2,4,25,160000,0,0.7926,191,1104,280,0,10
2920,5,400,4,2,3,3,1,25,160000,0,0.7028,213,1166,290,0,10
2921,5,400,4,2,3,3,2,25,160000,0,0.7249,213,1186,292,0,10
2922,5,400,4,2,3,3,3,25,160000,0,0.6659,204,1236,297,0,10
2923,5,400,4,2,3,3,4,25,160000,0,0.7760,218,1178,297,0,10
2924,5,400,4,2,3,4,1,25,160000,0,0.6706,215,1343,289,0,10
2925,5,400,4,2,3,4,2,25,160000,0,0.7261,213,1295,291,0,10
2926,5,400,4,2,3,4,3,25,160000,0,0.7050,225,1409,296,0,10
2927,5,400,4,2,3,4,4,25,160000,0,0.8550,226,1381,296,0,10
2928,5,400,4,2,4,1,1,25,160000,0,0.6458,233,1288,262,0,10
2929,5,400,4,2,4,1,2,25,160000,0,0.6772,210,1167,265,0,10
2930,5,400,4,2,4,1,3,25,160000,0,0.6434,221,1346,270,0,10
2931,5,400,4,2,4,1,4,25,160000,0,0.8385,234,1400,184,0,10
2932,5,400,4,2,4,2,1,25,160000,0,0.6635,243,1423,185,0,10
2933,5,400,4,2,4,2,2,25,160000,0,0.7468,243,1451,184,0,10
2934,5,400,4,2,4,2,3,25,160000,0,0.6996,253,1594,277,0,10
2935,5,400,4,2,4,2,4,25,160000,0,0.9102,280,1616,277,0,10
2936,5,400,4,2,4,3,1,25,160000,0,0.6959,268,1682,286,0,10
2937,5,400,4,2,4,3,2,25,160000,0,0.6966,236,1423,288,0,10
2938,5,400,4,2,4,3,3,25,160000,0,0.6443,241,1417,184,0,10
2939,5,400,4,2,4,3,4,25,160000,0,0.8489,288,1778,294,0,10
2940,5,400,4,2,4,4,1,25,160000,0,0.7595,262,1633,286,0,10
2941,5,400,4,2,4,4,2,25,160000,0,0.7402,304,1767,184,0,10
2942,5,400,4,2,4,4,3,25,160000,0,0.7352,269,1630,293,0,10
2943,5,400,4,2,4,4,4,25,160000,0,0.9232,289,1777,293,0,10
2944,5,400,4,3,1,1,1,25,160000,0,0.6476,193,1113,265,0,10
2945,5,400,4,3,1,1,2,25,160000,0,0.6171,204,1062,181,0,10
2946,5,400,4,3,1,1,3,25,160000,0,0.6941,233,1336,272,0,10
2947,5,400,4,3,1,1,4,25,160000,0,0.8313,244,1351,276,0,10
2948,5,400,4,3,1,2,1,25,160000,0,0.6434,216,1184,276,0,10
2949,5,400,4,3,1,2,2,25,160000,0,0.7303,223,1264,278,0,10
2950,5,400,4,3,1,2,3,25,160000,0,0.7099,244,1238,283,0,10
2951,5,400,4,3,1,2,4,25,160000,0,0.9120,227,1369,287,0,10
2952,5,400,4,3,1,3,1,25,160000,0,0.6072,249,1493,289,0,10
2953,5,400,4,3,1,3,2,25,160000,0,0.7262,266,1555,291,0,10
2954,5,400,4,3,1,3,3,25,160000,0,0.6861,299,1675,296,0,10
2955,5,400,4,3,1,3,4,25,160000,0,0.8589,305,1797,300,0,10
2956,5,400,4,3,1,4,1,25,160000,0,0.6480,267,1468,289,0,10
2957,5,400,4,3,1,4,2,25,160000,0,0.7554,253,1583,291,0,10
2958,5,400,4,3,1,4,3,25,160000,0,0.6972,256,1500,296,0,10
2959,5,400,4,3,1,4,4,25,160000,0,0.9052,312,1850,300,0,10
2960,5,400,4,3,2,1,1,25,160000,0,0.6889,210,1238,269,0,10
2961,5,400,4,3,2,1,2,25,160000,0,0.7156,206,1186,272,0,10
2962,5,400,4,3,2,1,3,25,160000,0,0.6484,238,1224,276,0,10
2963,5,400,4,3,2,1,4,25,160000,0,0.8274,244,1387,280,0,10
2964,5,400,4,3,2,2,1,25,160000,0,0.6542,179,968,280,0,10
2965,5,400,4,3,2,2,2,25,160000,0,0.7096,213,1033,283,0,10
2966,5,400,4,3,2,2,3,25,160000,0,0.6814,219,1137,287,0,10
2967,5,400,4,3,2,2,4,25,160000,0,0.7918,190,1097,291,0,10
2968,5,400,4,3,2,3,1,25,160000,0,0.6752,237,1479,293,0,10
2969,5,400,4,3,2,3,2,25,160000,0,0.7111,274,1549,296,0,10
2970,5,400,4,3,2,3,3,25,160000,0,0.6225,253,1540,190,0,10
2971,5,400,4,3,2,3,4,25,160000,0,0.7735,249,1523,192,0,10
2972,5,400,4,3,2,4,1,25,160000,0,0.6725,234,1372,293,0,10
2973,5,400,4,3,2,4,2,25,160000,0,0.7912,270,1419,296,0,10
2974,5,400,4,3,2,4,3,25,160000,0,0.6481,290,1668,310,0,10
2975,5,400,4,3,2,4,4,25,160000,0,0.7587,285,1754,193,0,10
2976,5,400,4,3,3,1,1,25,160000,0,0.6510,250,1436,286,0,10
2977,5,400,4,3,3,1,2,25,160000,0,0.7749,284,1656,288,0,10
2978,5,400,4,3,3,1,3,25,160000,0,0.6642,265,1502,293,0,10
2979,5,400,4,3,3,1,4,25,160000,0,0.8725,291,1708,293,0,10
2980,5,400,4,3,3,2,1,25,160000,0,0.7206,245,1426,294,0,10
2981,5,400,4,3,3,2,2,25,160000,0,0.6854,241,1371,296,0,10
2982,5,400,4,3,3,2,3,25,160000,0,0.6877,224,1375,301,0,10
2983,5,400,4,3,3,2,4,25,160000,0,0.8143,267,1632,302,0,10
2984,5,400,4,3,3,3,1,25,160000,0,0.7527,285,1678,310,0,10
2985,5,400,4,3,3,3,2,25,160000,0,0.7923,270,1745,312,0,10
2986,5,400,4,3,3,3,3,25,160000,0,0.6800,370,2201,203,0,10
2987,5,400,4,3,3,3,4,25,160000,0,0.8207,371,2295,203,0,10
2988,5,400,4,3,3,4,1,25,160000,0,0.7449,281,1689,310,0,10
2989,5,400,4,3,3,4,2,25,160000,0,0.7051,258,1628,312,0,10
2990,5,400,4,3,3,4,3,25,160000,0,0.6352,338,2088,204,0,10
2991,5,400,4,3,3,4,4,25,160000,0,0.8209,390,2189,205,0,10
2992,5,400,4,3,4,1,1,25,160000,0,0.6778,179,1002,283,0,10
2993,5,400,4,3,4,1,2,25,160000,0,0.7005,197,1089,286,0,10
2994,5,400,4,3,4,1,3,25,160000,0,0.6345,200,1147,289,0,10
2995,5,400,4,3,4,1,4,25,160000,0,0.8862,196,1101,290,0,10
2996,5,400,4,3,4,2,1,25,160000,0,0.7019,276,1466,294,0,10
2997,5,400,4,3,4,2,2,25,160000,0,0.7356,259,1429,294,0,10
2998,5,400,4,3,4,2,3,25,160000,0,0.7108,234,1377,299,0,10
2999,5,400,4,3,4,2,4,25,160000,0,0.8451,269,1527,300,0,10
3000,5,400,4,3,4,3,1,25,160000,0,0.6476,261,1501,196,0,10
3001,5,400,4,3,4,3,2,25,160000,0,0.6771,268,1506,194,0,10
3002,5,400,4,3,4,3,3,25,160000,0,0.6076,289,1590,193,0,10
3003,5,400,4,3,4,3,4,25,160000,0,0.7602,297,1693,194,0,10
3004,5,400,4,3,4,4,1,25,160000,0,0.6185,276,1599,197,0,10
3005,5,400,4,3,4,4,2,25,160000,0,0.6681,280,1731,197,0,10
3006,5,400,4,3,4,4,3,25,160000,0,0.6707,315,1822,199,0,10
3007,5,400,4,3,4,4,4,25,160000,0,0.8560,321,1848,196,0,10
3008,5,400,4,4,1,1,1,25,160000,0,0.6308,208,1146,266,0,10
3009,5,400,4,4,1,1,2,25,160000,0,0.7875,244,1432,270,0,10
3010,5,400,4,4,1,1,3,25,160000,0,0.6798,230,1290,275,0,10
3011,5,400,4,4,1,1,4,25,160000,0,0.8481,268,1571,280,0,10
3012,5,400,4,4,1,2,1,25,160000,0,0.6043,207,1163,275,0,10
3013,5,400,4,4,1,2,2,25,160000,0,0.7099,209,1173,278,0,10
3014,5,400,4,4,1,2,3,25,160000,0,0.6598,221,1193,283,0,10
3015,5,400,4,4,1,2,4,25,160000,0,0.7966,218,1244,288,0,10
3016,5,400,4,4,1,3,1,25,160000,0,0.6805,225,1393,290,0,10
3017,5,400,4,4,1,3,2,25,160000,0,0.7249,263,1489,294,0,10
3018,5,400,4,4,1,3,3,25,160000,0,0.6570,307,1711,190,0,10
3019,5,400,4,4,1,3,4,25,160000,0,0.8082,253,1478,191,0,10
3020,5,400,4,4,1,4,1,25,160000,0,0.7664,253,1567,290,0,10
3021,5,400,4,4,1,4,2,25,160000,0,0.7958,291,1832,293,0,10
3022,5,400,4,4,1,4,3,25,160000,0,0.7017,321,1806,188,0,10
3023,5,400,4,4,1,4,4,25,160000,0,0.8480,338,1998,190,0,10
3024,5,400,4,4,2,1,1,25,160000,0,0.7036,271,1665,271,0,10
3025,5,400,4,4,2,1,2,25,160000,0,0.7596,271,1518,274,0,10
3026,5,400,4,4,2,1,3,25,160000,0,0.6977,276,1607,279,0,10
3027,5,400,4,4,2,1,4,25,160000,0,0.8998,308,1716,284,0,10
